#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTOPTA_SoA_5093;They will pay for worshipping false idols.;Ils paieront leur vénération de fausses idoles.;Sie werden zahlen für Ihre Götzenverehrung.;;Pagarán por los falsos ídolos a los que adoran.;;;;;;;;;x
#LegacyOfRome.csv replacements
restore_roman_empire;Reforge the Roman Empire;Rétablir l'Empire romain;Das Römische Reich wiederherstellen;;Reinstaurar el Imperio Romano;;;;;;;;;x
restore_roman_empire_desc;The time has come to set aside religious conflicts of the past and unite the two halves of the greatest empire the world has ever seen. Roma has survived countless sackings and invasions from her uncivilized foes, and what better tribute to Roma Invicta than to repair the schism between two empires that should rightfully be one?;Si Rome et les autres territoires clefs de l'ancien empire peuvent être revendiqués, l'Empire byzantin sera reconnu par l'Occident comme étant le prolongement naturel et véritable de l'Empire romain.;Wenn Rom und andere Schlüsselgebiete des alten Reiches erneut erobert werden könnten, so würde das Byzantinische Reich in den Augen der westlichen Welt sicherlich Anerkennung gewinnen als die wahre und rechtmäßige Fortführung des römischen Staates.;;Si Roma y otros territorios claves del antiguo imperio podían ser reclamados por el Imperio Bizantino, éste ganaría un gran reconocimiento a los ojos de Occidente como la auténtica y legítima continuación del Estado Romano.;;;;;;;;;x
EVTTOOLTIPLoR.20;Reforge the Roman Empire. Roma Invicta!;L'Empire romain est restauré.;Das Römische Reich wurde wiederhergestellt.;;El Imperio Romano está restablecido.;;;;;;;;;x
EVTNAMELoR.20;Rise from the Ashes;L'Aube d'une Ère nouvelle;Der Aufbruch in eine neue Ära.;;El amanecer de una Nueva Era;;;;;;;;;x
EVTDESCLoR.20;Friends, Romans, countrymen, lend me your ears! In a display of true authority and power not seen since the days of the Good Emperors, [Root.GetTitledFirstName] has consolidated the two warring descendant states of the once-great Roman Empire and, from the ashes of the past, reforged a mighty nation that will once more take her place as the greatest empire in the world. Europe has endured dark times since the religious wars of the past and the tragic fragmentation by greedy lords clawing at their motherland, but the opportunity has arisen for the true rulers of the world to take their place once more.\n\nA new Legacy of Rome has been founded, it needs only survive the test of time to prove whether or not the Roman Empire shall ever be wiped from the face of the earth... or continue to rise from the ashes, never truly dying.;Amis, Romains, compatriotes, écoutez-moi ! Après le recouvrement miraculeux de territoires perdus depuis des siècles, l'Empire romain a ressuscité ! L'Europe a connu des temps durs depuis que les barbares ont pris d'assaut les frontières impériales et tou;Freunde, Römer, Landsleute, leiht mir Euer Ohr! Nach der wundersamen Rückeroberung von Land, das wir vor vielen Jahrhunderten verloren glaubten, wurde das Römische Reich wiedergeboren! Europa erlitt wahrhaft dunkle Zeiten, seit der Erstürmung der römische;;¡Amigos, romanos, compatriotas, prestadme atención! ¡Después de la milagrosa recuperación de territorios que hace siglos fueron perdidos, el Imperio Romano ha renacido! Europa ha sufrido tiempos muy duros y difíciles. Las fronteras imperiales fueron asaltadas por los bárbaros y, provincia a provincia, fueron quemadas a su paso, pero ahora una nueva era luminosa ha amanecido para toda la civilización.\n\nEl Estado Romano ya no será conocido por sus pretendientes celosos del "Oeste como el Imperio" de los griegos, sino que ahora será reconocido como el verdadero heredero del legado de Roma. [Root.GetTitledFirstName] gobierna un Imperio Romano restaurado, pero todavía queda mucho trabajo por hacer. Aún hay territorios por recuperar y antiguas fronteras que reclamar ¡Por el Senado y el Pueblo de Roma!;;;;;;;;;x
EVTOPTALoR.20;Esto perpetua!;Esto perpetua !;Esto perpetua!;;Esto perpetua!;;;;;;;;;x
EVTNAMELoR.21;Roma Invicta;Roma Invicta;Roma Invicta;;Roma Invicta;;;;;;;;;x
EVTDESCLoR.21;[Root.GetTitledFirstName] has brought an end to the intermediary state of cold civil war between the S.P.Q.R and the Imperium Romanum, and united the two into one magnificent, unified Roman Empire. This is not a new era, for this is not a new player on the field of history that has dominated Europe since time's beginning. This is a rebirth, a restituta, of the Roman Empire of old. Time shall tell if a new Legacy of Rome will be brought about, or if [Root.GetName] is just another overambitious warlord with delusions of grandeur.;Les Byzantins, autrefois considérés comme ''l'Empire des Grecs'' par une grande partie de l'Occident, ont réussi à revendiquer assez de territoires perdus pour déclarer l'Empire romain restauré ! Nous ne pouvons plus nier qu'ils sont les vrais successeurs;Die Byzantiner, bisher von vielen in der westlichen Welt stets als das "Reich der Griechen" bezeichnet, haben es irgendwie geschafft, genügend verlorenes Land zurückzuerobern, um die Wiederherstellung des Römischen Reiches zu verkünden! Es kann nicht läng;;Los bizantinos, anteriormente conocidos como "El Imperio de los griegos" por muchos en Occidente, han logrado recuperar suficientes territorios perdidos para poder declarar que el Imperio Romano ha sido reestablecido.  Ya no se puede negar que ellos son los sucesores verdaderos de Roma y de su glorioso legado. Aseguran que una nueva era ha llegado.;;;;;;;;;x
EVTOPTALoR.21;Welp... fuck.;Merde...;Kann dies wahr sein?;;Ay, que mierda...;;;;;;;;;x
EVTOPTBLoR.21;Per unitatem, vis!;Per unitatem, vis!;Per unitatem, vis!;;Per unitatem, vis!;;;;;;;;;x
#SoA Demon Child/Jeanne D'Arc replacements
EVTTITLE_SOA_3002;[From.Mother.GetFirstName]'s Baby;Bébé de [From.Mother.GetFirstName];Baby von [From.Mother.GetFirstName];;El Bebé de [From.Mother.GetFirstName];;;;;;;;;x
EVTDESC_SOA_3002;My little [GetFromRelation] [From.GetFirstName] is not like other children. [From.GetSubjectPronounCap] does not scream or cry or even get upset, but [From.GetSubjectPronoun] observes the world with keen interest. This morning, [From.GetSubjectPronoun] burst into bubbling laughter when a cook cut his hand badly and there was blood everywhere. Animals do not like [From.GetObjectPronoun] and [From.GetSubjectPronoun] makes a strange buzzing sound when near other children. Courtiers whisper '[Root.Religion.GetRandomEvilGodName] spawn' and the servants have started to avert their eyes and make covert signs to ward off evil.;Mon/ma [GetFromRelation] [From.GetFirstName] n'est pas comme les autres enfants. [From.GetSubjectPronounCap] ne pleure pas, ne se plaint pas, ne se met jamais en colère. [From.GetSubjectPronounCap] regarde le monde avec intérêt. Ce matin, [From.GetSubjectPronoun] a éclaté d'un rire joyeux lorsqu'un cuisinier s'est gravement coupé à la main et qu'il y avait du sang partout. Les animaux ne l'aiment pas et [From.GetSubjectPronoun] émet un étrange bourdonnement lorsqu'[From.GetSubjectPronoun] est en compagnie d'autres enfants. À la cour, on murmure qu'il s'agit d'un démon et les serviteurs commencent à détourner le regard et à faire en secret des signes pour se protéger du malin.;Meine kleine [GetFromRelation] [From.GetFirstName] ist nicht so wie andere Kinder. [From.GetSubjectPronounCap] schreit nicht und weint auch nicht, wenn sie traurig ist und [From.GetSubjectPronoun] beobachtet die Welt mit wachem Geist. Heute Morgen lachte [From.GetSubjectPronoun] laut und fröhlich, als ein Koch sich in die Hand schnitt und das Blut hell sprudelte. Tiere meiden [From.GetObjectPronoun] und [From.GetSubjectPronoun] gibt ein seltsames zischendes Geräusch von sich, wenn andere Kinder in der Nähe sind. Die Höflinge flüstern etwas von 'Dämonengezücht' und die Diener wenden ihren Blick ab und machen heimliche Zeichen, das Böse abzuwehren.;;Mi [GetFromRelation] [From.GetFirstName] no es como los demás niños. [From.GetSubjectPronounCap] no grita ni llora, ni se enfada, sino que observa el mundo con gran interés. Esta mañana, ha soltado una carcajada cuando un cocinero se ha hecho un grave corte en la mano y había sangre por todas partes. A los animales no les gusta [From.GetObjectPronoun] y [From.GetSubjectPronoun] emite un extraño zumbido cuando está cerca de otros niños. Los cortesanos hablan de ‘semilla [Root.Religion.GetRandomEvilGodName]íaca’ y los sirvientes han empezado a desviar la mirada y a hacer signos disimulados para protegerse del [Root.Religion.GetRandomEvilGodName]io.;;;;;;;;;x
EVTOPTA_SOA_3002;I must fast and pray to [Root.Religion.GetRandomGodName]...;Je dois jeûner et prier [Root.Religion.GetRandomGodName]...;Ich muss fasten und zu [Root.Religion.GetRandomGodName] beten...;;He de ayunar y orar a [Root.Religion.GetRandomGodName]...;;;;;;;;;x
EVTOPTB_SOA_3002;My [From.GetFirstName] is no [Root.Religion.GetRandomEvilGodName] child!;[From.GetFirstName] n'est pas un démon !;[From.GetFirstName] ist kein Kind des Teufels!;;¡Mi [From.GetFirstName] no es hijo del [Root.Religion.GetRandomEvilGodName]io!;;;;;;;;;x
EVTOPTC_SOA_3002;Consult my [Root.GetLordSpiritualName];En parler à mon [Root.GetLordSpiritualName];Fragt [Root.GetLordSpiritualName] um Rat;;Consultar a mi [Root.GetLordSpiritualName];;;;;;;;;x
EVTTOOLTIP_SOA_3003;I'll seek the advice of [This.GetTitledFirstName];Je demanderai conseil au [This.GetTitledFirstName];Ich werde mich an [This.GetTitledFirstName] wenden;;Pediré consejo a [This.GetTitledFirstName];;;;;;;;;x
EVTDESC_SOA_3003;My [GetFromRelation], [From.GetTitledFirstName] has sought me out regarding the worrisome behaviour of [From.GetPossPronoun] little child, [FromFrom.GetFirstName]. The entire court seems to believe that the child is possessed by dark forces...;Mon/ma [GetFromRelation], [From.GetTitledFirstName] m'a demandé conseil au sujet du comportement inquiétant de son enfant, [FromFrom.GetFirstName]. Toute la cour semble croire que l'enfant est possédé par une force obscure...;Mein [GetFromRelation], [From.GetTitledFirstName] hat mich aufgrund des besorgniserregenden Verhaltens [From.GetPossPronoun] kleinen Kindes, [FromFrom.GetFirstName], um Rat gebeten. Der gesamte Hof scheint überzeugt, dass dieses Kind von bösen Mächten besessen ist.;;Mi [GetFromRelation], [From.GetTitledFirstName], ha venido en mi busca ante el inquietante comportamiento de [From.GetPossPronoun] hijito, [FromFrom.GetFirstName]. Parece que toda la corte cree que el niño está poseído por las fuerzas de la oscuridad…;;;;;;;;;x
EVTOPTA_SOA_3003;What nonsense! Tell [From.GetObjectPronoun] not to worry!;C'est ridicule. Qu'[From.GetObjectPronoun] ne s'inquiète pas !;Was für ein Unfug! Ratet [From.GetObjectPronoun], ganz unbesorgt zu sein!;;¡Qué disparate! ¡Decid a [From.GetObjectPronoun] que no se preocupe!;;;;;;;;;x
EVTOPTB_SOA_3003;The child is clearly an abomination!;Cet enfant est clairement une abomination !;Das Kind ist in der Tat ein Ungeheuer!;;¡No cabe duda de que el niño es una abominación!;;;;;;;;;x
EVTTOOLTIP_SOA_3005;Get [From.GetFirstName] to confess! Has she lain with [Root.Religion.GetRandomEvilGodName]s and practised witchcraft?;[From.GetFirstName] doit se confesser ! A-t-elle forniqué avec des démons ? S'est-elle livrée à la sorcellerie ?;Nur eine Beichte kann [From.GetFirstName] helfen! Hatte sie Verkehr mit Dämonen oder übte sie sich gar in der Hexenkunst?;;¡Que [From.GetFirstName] se confiese! ¿Ha yacido con [Root.Religion.GetRandomEvilGodName]ios y practicado brujería?;;;;;;;;;x
EVTTOOLTIP_SOA_3006;Accuse the mother of witchcraft and of lying with [Root.Religion.GetRandomEvilGodName]s!;Accusons la mère de sorcellerie et d'avoir forniqué avec des démons !;Beschuldigt die Mutter der Hexerei und der Unzucht mit Dämonen!;;¡Acusad a la madre de brujería y de yacer con [Root.Religion.GetRandomEvilGodName]ios!;;;;;;;;;x
EVTDESC_SOA_3007;My wise [Root.GetLordSpiritualName] [FromFrom.GetFirstName] has examined the child and assures me that little [From.GetFirstName] is normal and that all the talk of [Root.Religion.GetRandomEvilGodName] spawn is utter nonsense. [Root.Religion.GetScriptureName] is clear on this.;Dans sa grande sagesse, le/la [Root.GetLordSpiritualName] [FromFrom.GetFirstName] a examiné l'enfant et m'a confirmé que [From.GetFirstName] n'avait rien de surnaturel. Tous ces propos au sujet de démons ne sont que balivernes. [Root.Religion.GetScriptureName] est très clair à ce sujet.;Mein weiser [Root.GetLordSpiritualName] [FromFrom.GetFirstName] hat das Kind untersucht und mir versichert, dass [From.GetFirstName] normal ist. Das Gerede von Dämonengezücht ist somit kompletter Unfug. [Root.Religion.GetScriptureName] lässt keinen Zweifel daran.;;Mi sabio [Root.GetLordSpiritualName] [FromFrom.GetFirstName] ha examinado al niño y asegura que el pequeño [From.GetFirstName] es normal y que hablar de semilla [Root.Religion.GetRandomEvilGodName]íaca es un verdadero disparate. [Root.Religion.GetScriptureName] lo deja claro.;;;;;;;;;x
EVTOPTA_SOA_3007;What a relief!;Quel soulagement !;Welch ein Glück!;;¡Qué alivio!;;;;;;;;;x
EVTDESC_SOA_3008;My [Root.GetLordSpiritualName] [FromFrom.GetFirstName] believes that little [From.GetFirstName] is the spawn of [Root.Religion.GetRandomEvilGodName]! Even worse, [FromFrom.GetSubjectPronoun] is trying to get me to confess to witchcraft and to frolicking with [Root.Religion.GetRandomEvilGodName]s!;Mon/ma [GetFromRelation], [From.GetTitledFirstName] croit que [Root.Religion.GetRandomEvilGodName] possède [FromFrom.GetFirstName] ! Pire encore, [FromFrom.GetSubjectPronoun] tente de me faire avouer que je suis une sorcière et que j'ai forniqué avec des démons !;Mein [Root.GetLordSpiritualName] [FromFrom.GetFirstName] glaubt, dass [From.GetFirstName] wirklich ein Kind von [Root.Religion.GetRandomEvilGodName] ist! Schlimmer noch, [FromFrom.GetSubjectPronoun] verlangt von mir, dass ich mich der Hexerei und der Unzucht mit Dämonen schuldig bekennen soll!;;¡Mi [Root.GetLordSpiritualName] [FromFrom.GetFirstName] cree que el pequeño [From.GetFirstName] es la semilla de [Root.Religion.GetRandomEvilGodName]! Y lo que es peor, [FromFrom.GetSubjectPronoun] está tratando de hacer que me acuse de brujería y de retozar con [Root.Religion.GetRandomEvilGodName]ios!;;;;;;;;;x
EVTOPTA_SOA_3008;I have not lain with [Root.Religion.GetRandomEvilGodName]!;Je n'ai pas forniqué avec [Root.Religion.GetRandomEvilGodName] !;Ich hatte kein Beisammensein mit [Root.Religion.GetRandomEvilGodName]!;;¡No he yacido con [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTOPTB_SOA_3008;Could it be? I've have had horrible nightmares...;Serait-ce possible ? Tous ces affreux cauchemars...;Könnte es so gewesen sein? Ich hatte in der Tat schreckliche Albträume...;;¿Es posible? He tenido unas pesadillas horribles…;;;;;;;;;x
EVTOPTC_SOA_3008;[FromFrom.GetSubjectPronounCap] must not live to spread these lies...;[FromFrom.GetSubjectPronounCap] doit mourir plutôt que de répandre ces mensonges...;[FromFrom.GetSubjectPronounCap] darf nicht weiterleben und diese Lügen verbreiten...;;[FromFrom.GetSubjectPronounCap] no puede vivir para difundir estas mentiras...;;;;;;;;;x
EVTTOOLTIP_SOA_3011;Tell [This.GetFirstName] about my vivid and impure dreams;Je parlerai à [This.GetFirstName] de mes rêves impurs;Erzählt [This.GetFirstName] von Euren lebhaften und unreinen Träumen;;Contar a [This.GetFirstName] mis realistas e impuros sueños;;;;;;;;;x
EVTDESC_SOA_3009;My [Root.GetLordSpiritualName] [FromFrom.GetFirstName] believes that little [From.GetFirstName] is the spawn of [Root.Religion.GetRandomEvilGodName]! Even worse, [FromFrom.GetSubjectPronoun] believes that [From.GetPossPronoun] mother, [From.Mother.GetTitledFirstName], is a witch who has had congress with [Root.Religion.GetRandomEvilGodName]s!;Mon/ma [GetFromRelation], [From.GetTitledFirstName], croit que [Root.Religion.GetRandomEvilGodName] possède [FromFrom.GetFirstName] ! Pire encore, [FromFrom.GetSubjectPronoun] pense que sa mère [From.Mother.GetTitledFirstName] est une sorcière qui a forniqué avec les démons !;Mein [Root.GetLordSpiritualName] [FromFrom.GetFirstName] glaubt, dass [From.GetFirstName] ein Kind von [Root.Religion.GetRandomEvilGodName] ist! Und schlimmer noch: [FromFrom.GetSubjectPronoun] glaubt, dass [From.GetPossPronoun] Mutter [From.Mother.GetTitledFirstName] eine Hexe ist, die mit Dämonen Unzucht getrieben hat!;;¡Mi [Root.GetLordSpiritualName] [FromFrom.GetFirstName] cree que el pequeño [From.GetFirstName] es la semilla de [Root.Religion.GetRandomEvilGodName]! Y lo que es peor, [FromFrom.GetSubjectPronoun] cree que [From.GetPossPronoun] madre, [From.Mother.GetTitledFirstName], es una bruja que ha fornicado con [Root.Religion.GetRandomEvilGodName]ios!;;;;;;;;;x
EVTOPTA_SOA_3009;Ridiculous! I know this is not true.;Ridicule ! Je sais très bien que ce n'est pas vrai.;Lächerlich! Nie und nimmer entspricht dies der Wahrheit.;;¡Es ridículo! Sé que no es verdad.;;;;;;;;;x
EVTOPTB_SOA_3009;[Root.Religion.GetRandomGodNameCap] avert! Seize both witch and child!;Détournez-vous de [Root.Religion.GetRandomGodNameCap] ! Saisissez la sorcière et l'enfant !;[Root.Religion.GetRandomGodNameCap] weiche! Ergreift sowohl die Hexe als auch ihr Kind!;;¡Prevenid a [Root.Religion.GetRandomGodNameCap]! ¡Detened a la madre y al niño!;;;;;;;;;x
EVTDESC_SOA_3010;[From.GetTitledFirstName] assures me of her innocence, and I doubt she is lying...;[From.GetTitledFirstName] m'assure de son innocence et je sais qu'elle est sincère...;[From.GetTitledFirstName] versichert mir, dass sie unschuldig ist, und ich bin geneigt, ihr zu glauben...;;[From.GetTitledFirstName] me asegura que es inocente y dudo de que mienta...;;;;;;;;;x
EVTOPTA_SOA_3010;I will keep a close watch on them both;Je les surveillerai de près.;Ich werde auf die beiden aufpassen;;Los vigilaré de cerca;;;;;;;;;x
EVTDESC_SOA_3011;[From.GetTitledFirstName] has tearfully confessed to having lurid dreams at night, sometimes featuring a minotaur and other fantastic creatures!;[From.GetTitledFirstName] a avoué entre deux sanglots avoir eu des rêves lubriques la nuit, parfois impliquant un minotaure et d'autres créatures fantastiques !;Unter Tränen hat [From.GetTitledFirstName] mit gestanden, dass sie von entsetzlichen Träumen heimgesucht wurde. Von Minotauren und anderen fantastischen Kreaturen hat sie mir berichtet!;;¡[From.GetTitledFirstName] ha confesado entre lágrimas que por la noche ha tenido sueños espeluznantes, a veces con un minotauro y otras con criaturas fantásticas!;;;;;;;;;x
EVTOPTA_SOA_3011;A witch!;C'est une sorcière !;Eine Hexe!;;¡Una bruja!;;;;;;;;;x
EVTOPTB_SOA_3011;Well, who doesn't have lurid dreams?;Qui n'a jamais eu de rêves de ce genre ?;Schreckliche Träume hat jeder von Zeit zu Zeit...;;Bueno, ¿quién no tiene sueños espeluznantes?;;;;;;;;;x
EVTTOOLTIP_SOA_3012;Publicly accuse [This.GetTitledFirstName] of unholy congress. Demand her abdication and that the child be declared illegitimate!;J'accuse publiquement [This.GetTitledFirstName] d'association avec le démon. J'exige son abdication et que l'enfant soit déclaré illégitime !;Beschuldigt [This.GetTitledFirstName] öffentlich der unheiligen Zusammenkunft. Fordert ihre Abdankung und die Entrechtung ihres Kindes!;;Acusad públicamente a [This.GetTitledFirstName] de fornicación impía. ¡Exigid su abdicación y que el niño sea declarado ilegítimo!;;;;;;;;;x
EVTTOOLTIP_SOA_3013;Calm her down and help quell these rumors.;Apaisons-la et cherchons à mettre un terme à ces rumeurs.;Beruhigt sie und helft bei der Unterdrückung dieser Gerüchte.;;Calmadla y ayudadla a sobreponerse a los rumores.;;;;;;;;;x
EVTDESC_SOA_3013;My wise [Root.GetLordSpiritualName] [FromFrom.GetFirstName] assures me that everyone suffers from wicked dreams from time to time, and though little [From.GetFirstName] is an odd child, there is likely nothing to worry about.;Le sage [Root.GetLordSpiritualName] [FromFrom.GetFirstName] m'assure que n'importe qui peut avoir ce genre de rêves de temps en temps et que même si [From.GetFirstName] est un enfant étrange, il n'y a vraisemblablement pas de quoi s'inquiéter.;Mein weiser [Root.GetLordSpiritualName] [FromFrom.GetFirstName] versichert mir, dass ein jeder von Zeit zu Zeit von furchtbaren Träumen heimgesucht werden kann. Auch wenn [From.GetFirstName] ein etwas seltsames Kind ist, gibt es doch keinen echten Anlass zur Sorge.;;Mi sabio [Root.GetLordSpiritualName] [FromFrom.GetFirstName] me asegura que todos tenemos sueños espeluznantes de vez en cuando y que aunque el pequeño [From.GetFirstName] es un niño raro, es probable que no haya de qué preocuparse.;;;;;;;;;x
EVTDESC_SOA_3014;My traitorous [Root.GetLordSpiritualName] [FromFrom.GetFirstName] has publicly accused me of being a witch and claims that my little [GetFromRelation] [From.GetFirstName] is the spawn of [Root.Religion.GetRandomEvilGodName]! A growing number of notables are demanding my abdication and that [From.GetFirstName] be declared illegitimate.;Ce traître de [Root.GetLordSpiritualName] [FromFrom.GetFirstName] m'a publiquement accusée d'être une sorcière et a déclaré que mon/ma [GetFromRelation] [From.GetFirstName] était l'enfant de [Root.Religion.GetRandomEvilGodName] ! Un nombre croissant de notables exige mon abdication et veut que [From.GetFirstName] soit déclaré illégitime.;Mein verräterischer [Root.GetLordSpiritualName] [FromFrom.GetFirstName] hat mich öffentlich der Hexerei bezichtigt und behauptet, mein(e) [GetFromRelation] [From.GetFirstName] sei ein Nachkomme von [Root.Religion.GetRandomEvilGodName]! Viele einflussreiche Persönlichkeiten fordern meine Abdankung und dass [From.GetFirstName] für illegitim erklärt wird.;;¡Mi traidor [Root.GetLordSpiritualName] [FromFrom.GetFirstName] me ha acusado públicamente de brujería y afirma que mi pequeño [GetFromRelation] [From.GetFirstName] es la semilla de [Root.Religion.GetRandomEvilGodName]! Cada vez son más las personas importantes que exigen mi abdicación y que [From.GetFirstName] sea declarado ilegítimo.;;;;;;;;;x
EVTOPTA_SOA_3014;Abdicate;J'abdique !;Abdanken;;Abdicar;;;;;;;;;x
EVTOPTB_SOA_3014;Never! Guards, arrest [FromFrom.GetFirstName]!;Jamais ! Gardes, arrêtez [FromFrom.GetFirstName] !;Niemals! Wachen, ergreift [FromFrom.GetFirstName]!;;¡Nunca! ¡Guardias, arrestad a [FromFrom.GetFirstName]!;;;;;;;;;x
EVTDESC_SOA_3015;[From.GetTitledFirstName] has assured me of [FromFrom.Mother.GetFirstName]'s innocence, and I doubt either of them are lying...;[From.GetTitledFirstName] m'a assuré l'innocence de [FromFrom.Mother.GetFirstName] et je sais qu'ils ne me mentiraient pas...;[From.GetTitledFirstName] hat mir versichert, dass [FromFrom.Mother.GetFirstName] unschuldig ist und ich glaube, dass sie beide die Wahrheit sagen...;;[From.GetTitledFirstName] me asegura que [FromFrom.Mother.GetFirstName] es inocente y dudo que mientan...;;;;;;;;;x
EVTOPTA_SOA_3015;I will keep a close eye on the child, [FromFrom.GetFirstName].;Je surveillerai de près mon enfant [FromFrom.GetFirstName].;Ich werde das Kind, [FromFrom.GetFirstName], beobachten.;;Vigilaré de cerca al pequeño [FromFrom.GetFirstName].;;;;;;;;;x
EVTDESC_SOA_3020;My true Father spoke to me in a dream, revealing His plans for me. The world shall bow to my strength and the people will accept the truth of [Root.Religion.GetRandomEvilGodName] into their hearts... or DIE!;Mon vrai Père m'a parlé en songe et m'a révélé Ses projets pour moi. Les gens se plieront à ma volonté et accepteront la vérité de [Root.Religion.GetRandomEvilGodName] dans leur cœur... ou MOURRONT !;Mein wahrer Vater hat im Traum zu mir gesprochen und mir offenbart, welche Pläne er mit mir hat. Vor meiner Stärke soll die ganze Welt das Haupt neigen und alle Menschen werden erkennen, dass [Root.Religion.GetRandomEvilGodName] die Wahrheit spricht und seine Lehren bereitwillig annehmen... oder STERBEN!;;Mi verdadero Padre me ha hablado en sueños y me ha revelado los planes que tiene para mí. El mundo se inclinará ante mi fuerza y la gente aceptará la verdad de [Root.Religion.GetRandomEvilGodName] en sus corazones... ¡o MORIRÁ!;;;;;;;;;x
EVTOPTA_SOA_3020;The POWER!;Toute cette puissance !;Die MACHT!;;¡El PODER!;;;;;;;;;x
EVTTITLE_SOA_3021;Spawn of [Root.Religion.GetRandomEvilGodName]?;Suppôt de [Root.Religion.GetRandomEvilGodName] ?;Nachkomme von [Root.Religion.GetRandomEvilGodName]?;;¿Semilla de [Root.Religion.GetRandomEvilGodName]?;;;;;;;;;x
EVTDESC_SOA_3021;My [GetFromRelation] [From.GetFirstName] has always been a strange one, worrying friends and relatives - as well as members of the clergy - with [From.GetPossPronoun] acts of wanton cruelty, not to mention the creepy buzzing noises [From.GetSubjectPronoun] makes, the birds falling dead from the sky and all the little accidents happening around [From.GetObjectPronoun]. Despite all the best efforts at education and firm tutoring, our hopes have been dashed. A child no more, [From.GetSubjectPronoun] has turned into a truly frightening young [From.GetManWoman]...;Mon/ma [GetFromRelation] [From.GetFirstName] a toujours été un enfant étrange qui inquiétait mes amis et ma famille, ainsi que les membres du clergé, par ses actes de cruauté gratuite. Sans parler des bourdonnements étranges qu'[From.GetSubjectPronoun] émet, des oiseaux qui tombent morts à ses pieds et des petits accidents qui se produisent sur son passage. Malgré tous nos efforts pour lui fournir une éducation stricte, nos espoirs ont été déçus. Maintenant que [From.GetFirstName] n'est plus un enfant, c'est devenu un être vraiment terrifiant.;Mein(e) [GetFromRelation] [From.GetFirstName] war schon immer etwas eigen, was vielen Freunden, Verwandten und auch den Geistlichen Anlass zur Sorge bot. [From.GetPossPronoun] Anwandlungen von Grausamkeit oder die Geräusche, die [From.GetSubjectPronoun] machte, oder die Vögel, die tot vom Himmel fielen und all die kleinen Unfälle, die um [From.GetObjectPronoun] herum geschahen. Trotz aller erzieherischen Bemühungen haben sich unsere Hoffnungen letztlich zerschlagen. Nun ist [From.GetSubjectPronoun] kein Kind mehr, sondern ein(e) [From.GetManWoman]... eine erwachsene Kreatur, die man fürchten muss...;;Mi [GetFromRelation] [From.GetFirstName] siempre ha sido un poco raro, lo que preocupa a amigos y familiares, así como al clero, dados [From.GetPossPronoun] actos de crueldad gratuita, por no mencionar los escalofriantes zumbidos que [From.GetSubjectPronoun] emite, los pájaros que caen del cielo muertos y los pequeños accidentes que suceden alrededor de [From.GetObjectPronoun]. A pesar del gran esfuerzo realizado en instruirlo y educarlo con firmeza, hemos perdido la esperanza. [From.GetSubjectPronoun] ha dejado de ser niño para convertirse en un joven [From.GetManWoman] realmente aterrador...;;;;;;;;;x
EVTOPTA_SOA_3021;[Root.Religion.GetRandomEvilGodName]!;Un démon !;Dämon!;;¡[Root.Religion.GetRandomEvilGodName]io!;;;;;;;;;x
suspected_demon_spawn;Suspected [Root.Religion.GetRandomEvilGodName] Spawn;Possible engeance du démon;Mutmaßliches Dämonengezücht;;Posible semilla demoníaca;;;;;;;;;x
EVTDESC_SOA_3032;My sweet [GetFromRelation] [From.GetFirstName] looks so peaceful there in [From.GetPossPronoun] bed... Now [From.GetSubjectPronoun] must rest forever.;Mon/ma [GetFromRelation] [From.GetFirstName] paraît si paisible dans son lit... À présent, [From.GetSubjectPronoun] va se reposer pour l'éternité.;Meine süße [GetFromRelation] [From.GetFirstName] wirkt so friedlich in [From.GetPossPronoun] Bett... Doch nun muss [From.GetSubjectPronoun] die ewige Ruhe finden.;;Mi dulce [GetFromRelation] [From.GetFirstName] parece tan tranquilo en [From.GetPossPronoun] cama... Ahora [From.GetSubjectPronoun] descansará para siempre.;;;;;;;;;x
EVTOPTA_SOA_3032;Ave [Root.Religion.GetRandomEvilGodName]!;Ave Satana !;Ave Satana!;;¡Ave Satanás!;;;;;;;;;x
EVTTOOLTIP_SOA_3035;Stab the long needle up the side of [This.GetPossPronoun] eye.;Enfoncer la longue aiguille dans son œil.;Stoßt die lange Nadel durch die Seite [This.GetPossPronoun] Auges.;;Clavad la larga aguja en [This.GetPossPronoun] ojo.;;;;;;;;;x
