#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8212.a;With such a lifestyle, you'll surely be punished in the afterlife.;Avec un tel style de vie, vous serez sûrement puni dans l'au-delà.;;;;;;;;;;;;x
VIETmisc.8212.b;I've had my share of conquests, and your methods are amateurish.;J'ai eu ma part de conquêtes et vos méthodes sont amateur.;;;;;;;;;;;;x
VIETmisc.8212.c;I cannot agree more. Young maidens are easy prey!;Je ne peux être que d'accord. Les jeunes filles sont des proies faciles !;;;;;;;;;;;;x
VIETmisc.8212.d;Hah! What a liar! There's no way you've slept around like that.;Hah ! Quel menteur ! Il n'y a pas moyen que tu aies dormi comme ça.;;;;;;;;;;;;x
VIETmisc.8212.e;Despicable. Don't talk of women like they are trophies to be won.;Méprisable. Ne parlez pas des femmes comme si elles étaient des trophées à gagner.;;;;;;;;;;;;x
VIETmisc.8213.desc;My entire court knows that [target_VIET_inexperienced_man.GetTitledName] lacks experience when it comes to women. Some make fun of him for it, others offer help and sympathy, but everyone seems to have their own opinion on the matter. One day, I get the opportunity to tell him what I really think about his predicament.;Toute ma cour sait que [target_VIET_inexperienced_man.GetTitledName] manque d'expérience en matière de femmes. Certains se moquent de lui pour cela, d'autres offrent aide et sympathie, mais chacun semble avoir sa propre opinion à ce sujet. Un jour, j'ai l'occasion de lui dire ce que je pense vraiment de sa situation.;;;;;;;;;;x;x
VIETmisc.8213.a;You don't try at all, do you? What a foolish weakling you are.;Vous n'essayez pas du tout, n'est-ce pas ? Quel imbécile fou êtes-vous.;;;;;;;;;;;;x
VIETmisc.8213.b;Go to a whorehouse already! Then you'll be a true man!;Aller à un bordel déjà ! Alors vous serez un vrai homme !;;;;;;;;;;;;x
VIETmisc.8213.c;Don't listen what others say, it's not their business.;N'écoutez pas ce que les autres disent, ce n'est pas leur affaire.;;;;;;;;;;;;x
VIETmisc.8213.d;Let me teach you a thing or two about women.;Laissez-moi vous apprendre une chose ou deux sur les femmes.;;;;;;;;;;;;x
VIETmisc.8213.e;Today's your lucky day! I'll teach you all about the arts of love.;Aujourd'hui, c'est votre jour de chance ! Je vais tout vous apprendre sur les arts de l'amour.;;;;;;;;;;;;x
VIET_virgin_accepts_advice; \n\n[target_VIET_inexperienced_man.GetTitledName] heeds your advice, and spends an unforgettable night at a nearby brothel, learning about the pleasures of the flesh.; \n\n [target_VIET_inexperienced_man.GetTitledName] tient compte de vos conseils et passe une nuit inoubliable dans une maison close à proximité, découvrant les plaisirs de la chair.;;;;;;;;;;;;x
VIET_virgin_rejects_advice; \n\n[target_VIET_inexperienced_man.GetTitledName] rejects your advice for whatever reason.; \n\n [target_VIET_inexperienced_man.GetTitledName] rejette votre conseil pour une raison quelconque.;;;;;;;;;;;;x
VIETmisc.8214.desc;A traveler brought with them several interesting foods to present to my court. One of them was a vegetable called broccoli, which is not too popular or well-known outside of Italy and certain parts of the Mediterranean. Its head is similar to cauliflower, but its stem is more like asparagus.;Un voyageur a apporté avec lui plusieurs aliments intéressants à présenter à ma cour. L'un d'entre eux était un légume appelé brocoli, qui n'est ni trop populaire ni bien connu en dehors de l'Italie et de certaines parties de la Méditerranée. Sa tête est semblable au chou-fleur, mais sa tige ressemble plus à de l'asperge.;;;;;;;;;;x;x
VIETmisc.8214.a;Fascinating. I'll sample a bit.;Fascinant. Je vais goûter un peu.;;;;;;;;;;;;x
VIETmisc.8214.b;I want to keep some of this broccoli for my cooks to use.;Je veux garder une partie de ce brocoli pour que mes cuisiniers l'utilisent.;;;;;;;;;;;;x
VIETmisc.8215.desc;Today I learned that someone I know vehemently hates broccoli, and refuses to eat any meal that contains this vegetable.;Aujourd'hui, j'ai appris que quelqu'un que je connais déteste violemment le brocoli et refuse de manger tout repas contenant ce légume.;;;;;;;;;;x;x
VIETmisc.8215.a;Very odd! I like broccoli, on the other hand.;Très étrange ! J'aime les brocolis, en revanche.;;;;;;;;;;;;x
VIETmisc.8215.b;We all have our preferences. Who am I to judge?;On a tous nos préférences. Qui suis-je pour juger ?;;;;;;;;;;;;x
VIETmisc.8215.c;I agree without a doubt. Broccoli is terrible.;Je suis d'accord sans aucun doute. Le brocoli est terrible.;;;;;;;;;;;;x
VIETmisc.8216.desc;You were passing by the kitchen, when you overheard your cook and his assistant arguing about whether broccoli or cauliflower would be better for the meal they were preparing to make for dinner. Since the meal is meant for you, perhaps it would be prudent to offer them your take on the matter.;Vous étiez en train de passer à côté de la cuisine lorsque vous avez entendu votre cuisinier et son assistant se disputer pour savoir si un brocoli ou un chou-fleur serait préférable pour le repas qu'ils s'apprêtaient à préparer pour le dîner. Puisque le repas vous est destiné, il serait peut-être prudent de leur offrir votre point de vue sur la question.;;;;;;;;;;x;x
VIETmisc.8216.a;I prefer broccoli for today's meal.;Je préfère le brocoli au repas d'aujourd'hui.;;;;;;;;;;;;x
VIETmisc.8216.b;I think cauliflower suits my current mood.;Je pense que le chou-fleur convient à mon humeur actuelle.;;;;;;;;;;;;x
VIETmisc.8216.c;Ignore them and move on - they'll know what is best.;Ignorez-les et passez à autre chose - ils sauront ce qui convient le mieux.;;;;;;;;;;;;x
VIETmisc.8216.d;Why not both?;Pourquoi pas les deux ?;;;;;;;;;;;;x
VIETmisc.8217.desc;I'm dreaming that I'm at a busy port in an exotic, faraway land. People bustle around on the docks as I gaze upon the mighty ship in front of me. It looks as if it is made out of solid, hard iron and steel, not wood! It seems I am a passenger on this ship, but I do not know what my destination is. After walking through the crowd, I approach the ship's captain, and ask him where we're going. He looks at me with a surprised look, and laughs: "That is your choice, my friend. Where do you want to go? So many places to see across the world, and so little time!";Je rêve de me trouver dans un port occupé dans un pays exotique et lointain. Les gens s'affairent sur les quais pendant que je contemple le puissant navire devant moi. On dirait qu'il est fait de fer, d'acier dur et dur, pas de bois ! Il semble que je sois un passager à bord de ce navire, mais je ne sais pas quelle est ma destination. Après avoir traversé la foule, je m'approche du capitaine du navire et lui demande où nous allons. Il me regarde avec un regard surpris et rit : "C'est ton choix, mon ami. Où veux-tu aller ? Tant d'endroits à voir à travers le monde et si peu de temps !";;;;;;;;;;x;x
VIETmisc.8217.a;I was about to tell him when I woke up.;J'étais sur le point de lui dire quand je me suis réveillé.;;;;;;;;;;;;x
VIETmisc.8218.desc;Another dream whisks me away to a strange land, where people dress in the most unsightly fashion, their hair is strung about like stones thrown about. Yet everyone seems to go about their daily business without interruption. I walk some distance before I come to what appears like a small tavern or establishment of some sort, and meet the person I'm supposed to meet.;Un autre rêve m'emmène dans un pays étrange, où les gens s'habillent de la manière la plus inesthétique possible, leurs cheveux sont piqués comme des pierres jetées. Pourtant, chacun semble mener ses activités quotidiennes sans interruption. Je marche un peu avant d'arriver à ce qui semble être une petite taverne ou un établissement, et je rencontre la personne que je suis censé rencontrer.;;;;;;;;;;x;x
VIETmisc.8218.a;Fancy seeing you here, of all places!;Envie de vous voir ici, de tous les lieux !;;;;;;;;;;;;x
VIETmisc.8219.desc;xxxxx;xxxxx;;;;;;;;;;x;x
VIETmisc.8219.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
VIETmisc.8220.desc;We chat in an unnaturally calm manner, about this and that, as we sip a strange, paradoxical liquid from a ceramic cup. The drink is unlike anything I've had: it is both black and white in color, and both sweet and bitter in taste. Suddenly, I find myself back in my normal bed, awake. When I discuss this later with [From.GetTitledName], [From.GetSheHe] confirms [From.GetSheHe] shared the exact same dream.;Nous discutons d'une manière anormalement calme à propos de ceci et de cela, tout en sirotant un étrange liquide paradoxal d'une tasse en céramique. La boisson ne ressemble à rien de ce que j'ai eu : elle est à la fois noire et blanche, douce et amère. Soudain, je me retrouve dans mon lit normal, éveillé. Lorsque j'en discuterai plus tard avec [From.GetTitledName], [From.GetSheHe] confirme que [From.GetSheHe] a partagé exactement le même rêve.;;;;;;;;;;x;x
VIETmisc.8220.a;Most strange! But it wasn't a bad dream.;Très étrange ! Mais ce n'était pas un mauvais rêve.;;;;;;;;;;;;x
VIETmisc.8220.b;Why did you have to appear in that dream?;Pourquoi avez-vous dû apparaître dans ce rêve ?;;;;;;;;;;;;x
VIETmisc.8221.desc;Somewhere, in the far reaches of my subconscious, I know that I am in a dream, but I otherwise do not remember who I truly am. The room is disorienting at first, with furniture designed in outlandish ways and paintings and decor that looks gaudy and ridiculous. There is, however, a mirror nearby. Perhaps that will give me a clue as to who or what I am, where I am, why I am.;Quelque part, tout au fond de mon subconscient, je sais que je suis dans un rêve, mais je ne me souviens pas autrement de qui je suis vraiment. La salle est désorientée au début, avec des meubles conçus de manière extravagante et des peintures et un décor qui a l'air criard et ridicule. Il y a cependant un miroir à proximité. Cela me donnera peut-être un indice sur qui ou ce que je suis, où je suis, pourquoi je suis.;;;;;;;;;;x;x
VIETmisc.8221.a;I glide towards the mirror.;Je glisse vers le miroir.;;;;;;;;;;;;x
VIET_kdrama_who_am_i;Who am I? What am I? Where am I? Why am I?;Qui suis je ? Que suis je ? Où suis-je ? Pourquoi suis-je ?;;;;;;;;;;x;x
VIETmisc.8222.desc;I look in the mirror and see a lovely, slim girl, with demure eyes and a coy smile. I wear a strange dress of sky blue color. Moments later, before I realize it, the location of the dream changes. Next to me is a tall, handsome boy with piercing eyes and a brooding frown, whom I feel an immense connection with. My waking self wouldn't recognize him, but my dream self does.;Je me regarde dans le miroir et vois une jolie fille mince, avec des yeux sage et un sourire timide. Je porte une étrange robe de couleur bleu ciel. Quelques instants plus tard, avant que je m'en rende compte, l'emplacement du rêve change. À côté de moi se trouve un grand et beau garçon aux yeux perçants et au froncement de sourcils, avec lequel je sens un immense lien. Mon éveillé ne le reconnaîtrait pas, mais mon rêve se reconnaît.;;;;;;;;;;x;x
VIETmisc.8222.a;"Are you doing alright?" I ask awkwardly.;"Est-ce que ça va bien ?" Je demande maladroitement.;;;;;;;;;;;;x
VIET_kdrama_girl_talk;"Don't worry about me," he says dismissively. "You don't need to."\n\n"But it is my job to worry about you," I retort. "You still look hurt over that.";"Ne t'inquiète pas pour moi", dit-il avec dédain. "Vous n'avez pas besoin de le faire."\n\n"Mais c'est mon travail de m'inquiéter pour vous," je rétorquai. "Tu as toujours l'air blessé pour ça.";;;;;;;;;;x;x
VIETmisc.8223.desc;We walk side by side along a river bank in some small town or city as we engage in casual talk. We've been friends for many years, so we feel much closeness with each other. Yet he's such a nuisance, and what is this tension I feel in the air? He nods, still frowning, as he ruffles through my hair. He is almost like an older brother to me, and yet... and yet... I want more. ;Nous marchons côte à côte le long d'une rivière, dans une petite village ou une ville, au cours d'une conversation informelle. Nous sommes amis depuis de nombreuses années, nous nous sentons donc très proches l'un l'autre. Pourtant, c'est tellement gênant et quelle est cette tension que je ressens dans l'air ? Il hoche la tête, fronçant toujours les sourcils, alors qu'il frotte dans mes cheveux. Il est presque comme un grand frère pour moi, et pourtant ... et pourtant ... je veux plus.;;;;;;;;;;x;x
VIETmisc.8223.a;I shyly hold his hand.;Je tiens timidement sa main.;;;;;;;;;;;;x
VIETmisc.8223.b;I grab him and confess my feelings.;Je l'attrape et avoue mes sentiments.;;;;;;;;;;;;x
VIETmisc.8223.c;I say mean things to him.;Je lui dis des choses méchantes.;;;;;;;;;;;;x
VIETmisc.8223.d;He shyly holds my hand.;Il me tient timidement la main.;;;;;;;;;;;;x
VIETmisc.8224.title;Love?;Amour ?;;;;;;;;;;x;x
VIETmisc.8224.desc;He is about to say something, to respond to me, to say what had been on his mind for what must have been more than a decade, since we played under the old tree by my grandfather's house as children. I hold my breath, waiting to hear what is to come out of his mouth, what will change our lives forever, and he smiles for the first time in years as he says -\n\nI wake up, confused.\n\nA few moments pass, and I worry about where that boy is. And then I realize I am not that quiet, sweet girl, but [Root.GetTitledName]. It takes me several minutes before I remember how to distinguish between reality and that dream.;Il est sur le point de dire quelque chose, de me répondre, de dire ce qu'il pensait depuis plus de dix ans, depuis que nous avons joué sous le vieil arbre près de la maison de mon grand-père. Je retiens mon souffle en attendant d'entendre ce qui va sortir de sa bouche, ce qui changera notre vie à jamais, et il sourit pour la première fois depuis des années alors qu'il disait -  \n\nJe me réveille confus. \n\nQuelques secondes passent et je me demande où est ce garçon. Et puis je réalise que je ne suis pas cette fille douce et silencieuse, mais [Root.GetTitledName]. Il me faut plusieurs minutes avant de me rappeler comment distinguer la réalité de ce rêve.;;;;;;;;;;x;x
VIETmisc.8224.a;Or at least I think this is reality.;Ou du moins je pense que c'est la réalité.;;;;;;;;;;;;x
VIETmisc.8225.desc;I look in the mirror and see a tall, handsome boy, with piercing eyes and a brooding frown. I wear strange, blue pantaloons and a tight shirt. Moments later, before I realize it, the location of the dream changes. Next to me is a lovely, slim girl with demure eyes and a coy smile, whom I feel an immense connection with. My waking self wouldn't recognize her, but my dream self does.;Je me regarde dans le miroir et vois un grand et beau garçon avec des yeux perçants et un froncement de sourcils. Je porte d'étranges pantalons bleus et une chemise moulante. Quelques instants plus tard, avant que je m'en rende compte, l'emplacement du rêve change. À côté de moi se trouve une jolie fille mince, au regard sage et au sourire timide, avec laquelle je sens une connexion immense. Mon éveil ne la reconnaîtrait pas, mais mon rêve se reconnaît.;;;;;;;;;;x;x
VIETmisc.8225.a;"What is it?" I ask, more gruffly than I should.;"Qu'est-ce que c'est?" Je demande, plus bourru que je ne devrais.;;;;;;;;;;;;x
VIET_kdrama_boy_talk;"Are you alright?" she asks me gently. "Is something wrong?"\n\n"It is not your job to worry about me, and I will be fine," I retort. "I don't feel hurt over that.";"Est-ce que tu vas bien ?" me demande t-elle gentiment. "Quelque chose ne va pas ?" \n\n "Ce n'est pas à vous de vous soucier de moi, et tout ira bien", rétorquai-je. "Je ne me sens pas blessé pour ça.";;;;;;;;;;x;x
VIETmisc.8226.desc;We walk side by side along a river bank in some small town or city as we engage in casual talk. We've been friends for many years, so we feel much closeness with each other. Yet I still think of her as a stupid, annoying little girl, and what is this tension I feel in the air? She smiles and I can't help but ruffle through her hair. She is almost like a little sister to me, and yet... and yet... I want more.;Nous marchons côte à côte le long d'une rivière, dans un petit village ou une ville, au cours d'une conversation informelle. Nous sommes amis depuis de nombreuses années, nous nous sentons donc très proches l'un l'autre. Pourtant, je la considère toujours comme une petite fille stupide et agaçante, et quelle est cette tension que je ressens dans les airs ? Elle sourit et je ne peux m'empêcher de friser ses cheveux. Elle est presque comme une petite sœur pour moi, et pourtant ... et pourtant ... je veux plus.;;;;;;;;;;x;x
VIETmisc.8226.a;I shyly hold her hand.;Je tiens timidement sa main.;;;;;;;;;;;;x
VIETmisc.8226.b;I grab her and confess my feelings.;Je la prends et avoue mes sentiments.;;;;;;;;;;;;x
VIETmisc.8226.c;I say mean things to her.;Je lui dis des choses méchantes.;;;;;;;;;;;;x
VIETmisc.8226.d;She shyly holds my hand.;Elle me tient timidement la main.;;;;;;;;;;;;x
VIET_kdrama_lewd_handholding;We're both nervous, so much that even holding hands like this feels intense. But it's the first important step!;Nous sommes tous les deux nerveux, à tel point que même se tenir la main comme ça se devient intense. Mais c'est la première étape importante !;;;;;;;;;;x;x
VIET_kdrama_dramatic_confession;I have nothing to lose. My friend must know now, before it's too late! A delay of one moment, and this opportunity could be gone - forever.;Je n'ai rien à perdre. Mon amie doit savoir maintenant, avant qu'il ne soit trop tard ! Un délai d'un instant et cette opportunité pourraient disparaître - pour toujours.;;;;;;;;;;x;x
VIET_kdrama_tsundere;I am absolutely incapable of discussing things like an adult, because matters of love are so sensitive and tricky.;Je suis absolument incapable de discuter de choses comme un adulte, car les questions d'amour sont si sensibles et délicates.;;;;;;;;;;x;x
VIET_kdrama_be_handheld;I didn't expect them to be so bold. To do something so aggressive and forward... at least for a first step.;Je ne m'attendais pas à ce qu'elle soit si audacieuse. Faire quelque chose d'aussi agressif et en avant... au moins pour un premier pas.;;;;;;;;;;x;x
VIETmisc.8227.title;Love?;Amour ?;;;;;;;;;;x;x
VIETmisc.8227.desc;She is about to say something, to respond to me, to say what had been on her mind for what must have been more than a decade, since we played under the old tree by my grandfather's house as children. I hold my breath, waiting to hear what is to come out of her mouth, what will change our lives forever, and she finally cries for the first time in years as she says -\n\nI wake up, confused.\n\nA few moments pass, and I worry about where that girl is. And then I realize I am not that handsome, brooding boy, but [Root.GetTitledName]. It takes me several minutes before I remember how to distinguish between reality and that dream.;Elle est sur le point de dire quelque chose, de me répondre, de dire ce qui la tracassait depuis plus de dix ans, depuis que nous avons joué sous le vieil arbre près de la maison de mon grand-père. Je retiens mon souffle en attendant d'entendre ce qui va sortir de sa bouche, ce qui changera notre vie à jamais, et elle pleure enfin pour la première fois depuis des années, comme elle le dit - \n\nJe me réveille confus. \n\n Quelques secondes s'écoulent et je me demande où est cette fille. Et puis je réalise que je ne suis pas ce beau garçon, mais [Root.GetTitledName]. Il me faut plusieurs minutes avant de me rappeler comment distinguer la réalité de ce rêve.;;;;;;;;;;x;x
VIETmisc.8227.a;Or at least I think this is reality.;Ou du moins je pense que c'est la réalité.;;;;;;;;;;;;x
VIETmisc.8228.desc;I wander a field of blurry yet vivid colors, and cannot tell what is above and what is below, what is left and what is right. I am simultaneously floating driftlessly and walking aimlessly. Am I in the primordial churning ocean, or the primeval endless skies? Somewhere deep within myself, though I cannot articulate it, I know that this is the era of dreams, when people could not distinguish between conscious and subconscious, when we walked the dreamscape of the universe under the benevolent watch of [Root.Religion.GetHighGodName].;Je me promène dans un champ de couleurs vives et floues, et je ne peux pas dire ce qui est en haut et ce qui est en bas, ce qui est à gauche et ce qui est à droite. Je flotte simultanément sans dérive et marche sans but. Suis-je dans l'océan de barattage primordial ou dans les cieux primitifs sans fin ? Quelque part au fond de moi, même si je ne peux pas l'articuler, je sais que nous sommes dans l'ère des rêves, lorsque les gens ne peuvent pas distinguer entre conscient et subconscient, lorsque nous parcourons le paysage onirique de l'univers sous la surveillance bienveillante de [Root.Religion.GetHighGodName].;;;;;;;;;;x;x
VIETmisc.8228.a;I know not the beginning nor the end.;Je ne connais ni le début ni la fin.;;;;;;;;;;;;x
VIETmisc.8229.desc;Eons pass before I slowly regain consciousness.\n\nI find myself back in my bed. ;Les siècles passent avant que je reprenne lentement conscience. \n \n Je me retrouve dans mon lit.;;;;;;;;;;x;x
VIETmisc.8229.a;Outside, the sun is rising.;Dehors, le soleil se lève.;;;;;;;;;;;;x
VIETmisc.8230.desc;A quiet campfire burns besides me as I sit down. I have been traveling for aeons in this strange dream of mine. Where am I going, and where have I gone? I know not. It is night, and around me is desert sand, yet I feel neither cold nor hot. The skies above fade in and out of different, unnatural colors such as dark emerald, maroon, or the blue of the ocean's depths. I lie back and watch the flickering stars. How beautiful this world is!;Un feu de camp silencieux brûle à mes côtés lorsque je m'assieds. Je voyage depuis des siècles dans cet étrange rêve. Où vais-je et où suis-je allé ? Je ne sais pas. Il fait nuit et autour de moi, il y a du sable du désert, mais je ne me sens ni froid ni chaud. Les cieux situés au-dessus se fondent dans des couleurs différentes et non naturelles telles que l'émeraude sombre, le marron ou le bleu des profondeurs de l'océan. Je m'allonge et regarde les étoiles qui scintillent. Comme ce monde est beau !;;;;;;;;;;x;x
VIETmisc.8230.a;I fall asleep within my dream.;Je m'endors dans mon rêve.;;;;;;;;;;;;x
VIETmisc.8231.desc;I wake up with a jolt. Am I back in reality? Or in that dream?;Je me réveille avec une secousse. Suis-je de retour dans la réalité ? Ou dans ce rêve ?;;;;;;;;;;x;x
VIETmisc.8231.a;This is reality.;C'est la réalité.;;;;;;;;;;;;x
VIETmisc.8231.b;This is a dream.;C'est le rêve.;;;;;;;;;;;;x
VIETmisc.8231.c;I do not know how to distinguish between the two.;Je ne sais pas comment faire la distinction entre les deux.;;;;;;;;;;;;x
VIETmisc.8231.d;Or am I in another dream within a dream?;Ou suis-je dans un autre rêve dans un rêve ?;;;;;;;;;;;;x
VIETmisc.8232.desc;The sky is like waves of red and yellow and dark pink, as the sun slowly wades itself deeper and deeper into the horizon. "Isn't it lovely?" my companion asks. I don't disagree.\n\nSuddenly, I begin to wake up. What a beautiful sunset I saw in my dream!;Le ciel est comme des vagues de rouge, de jaune et de rose foncé, alors que le soleil s'efface lentement et de plus en plus profond dans l'horizon. "N'est-ce pas charmant ?" demande mon compagnon. Je ne suis pas en désaccord.\n\n Soudain, je commence à me réveiller. Quel beau coucher de soleil j'ai vu dans mon rêve !;;;;;;;;;;x;x
VIETmisc.8232.a;But who was my mysterious companion?;Mais qui était mon compagnon mystérieux ?;;;;;;;;;;;;x
VIETmisc.8233.desc;There is nothing but a river that goes forever, surrounded by the green grass and lush trees and bushes. If I wander too far, I find myself back at the river, somehow. Above the sky is pale blue, and a gentle breeze whispers past me. And so, on and on I go, along the primordial, endless river. Even when I wake up, and try to recall my dream, it doesn't make sense.;Il n'y a rien, mais une rivière qui coule à jamais, entourée d'herbe verte et d'arbres et de buissons luxuriants. Si je m'éloigne trop, je me retrouve de nouveau au bord de la rivière. Au-dessus le ciel est bleu pâle et une douce brise me souffle dessus. Et ainsi de suite, je continue, le long du fleuve primordial et sans fin. Même quand je me réveille et que j'essaie de me rappeler de mon rêve, cela n'a aucun sens.;;;;;;;;;;x;x
VIETmisc.8233.a;How can a river be shaped like that?;Comment une rivière peut-elle être formée comme ça ?;;;;;;;;;;;;x
VIETmisc.8234.desc;I stand on a stage, but one unlike any other I've ever seen before. It is immense in size, more like the throne room of a faraway Emperor. There are bright lights high above, a hundred suns that blind me to the audience below. But even in this dream, I know that I must perform music here. Yet I cannot play. My dream self remembers a painful memory from the past.;Je suis sur une scène, mais unique en son genre. Elle est immense et ressemble plus à la salle du trône d'un empereur lointain. Il y a des lumières brillantes au-dessus, cent soleils qui m'aveuglent au public. Mais même dans ce rêve, je sais que je dois jouer de la musique ici. Pourtant je ne peux pas jouer. Mon rêve de lui-même se souvient d'un souvenir douloureux du passé.;;;;;;;;;;x;x
VIETmisc.8234.a;I sorrowfully watch my instrument.;Je regarde tristement mon instrument.;;;;;;;;;;;;x
VIET_music_of_love_kdrama_text;It is an organ of the oddest shape, I've never seen before. It is both black and white, and its majesty beckons to me. And yet I cannot.;C'est un orgue de la forme la plus étrange, je n'en ai jamais vu auparavant. Il est noir et blanc, et sa majesté me fait signe. Et pourtant je ne peux pas.;;;;;;;;;;x;x
VIETmisc.8235.title;Music of Love;Musique d'amour;;;;;;;;;;x;x
VIETmisc.8235.desc;Far away, at the edge of the stage, hidden behind the curtains, [Root.GetSheHeOpp] stands. "You can do it!" [Root.GetSheHeOpp] mouths to me. "I believe in you!"\n\nI approach the black and white organ with trepidation. Can I still play now, even after what happened back then?\n\nBut I must, if only for [Root.GetHerHimOpp].\n\nI sit before the organ, and begin to play.;Au loin, au bord de la scène, caché derrière les rideaux, [Root.GetSheHeOpp] se dresse. "Tu peux le faire !" [Root.GetSheHeOpp] me parle. "Je crois en toi !" \n\nJ'approche l'orgue noir et blanc avec inquiétude. Puis-je toujours jouer maintenant, même après ce qui s'est passé à l'époque ? \n\nMais je dois le faire, ne serait-ce que pour [Root.GetHerHimOpp]. \n\nJe suis assis devant l'orgue et commence à jouer.;;;;;;;;;;x;x
VIETmisc.8235.a;After waking up, I can still hear the song I played in my head.;Après mon réveil, j'entends toujours la chanson que j'ai jouée dans ma tête.;;;;;;;;;;;;x
VIETmisc.8236.desc;I am lost in a maze of tunnels that never seem to end. No matter where I turn, right or left, I cannot find a way out. No matter where I go, there is no one here. I thought there might have been monsters or bandits lurking about, but my only friends and enemies are the flickers of the occasional torch and the cold stone walls. Nothing exists but the dark passageways.;Je suis perdu dans un labyrinthe de tunnels qui ne semblent jamais se terminer. Peu importe où je tourne, à droite ou à gauche, je ne peux pas trouver un moyen de sortir. Peu importe où je vais, il n'y a personne ici. Je pensais qu'il y avait peut-être des monstres ou des bandits qui me menaçaient, mais mes seuls amis et ennemis sont les scintillements de la torche occasionnelle et des murs de pierre froids. Rien d'autre n'existe que les passages sombres.;;;;;;;;;;x;x
VIETmisc.8236.a;I wake up, sweating, with a feeling of unease.;Je me réveille en transpirant avec un sentiment de malaise.;;;;;;;;;;;;x
VIETmisc.8237.desc;I wander a field that stretches from horizon to horizon, lost. I travel for what seems like years upon years and find no sense of direction, and I grow scared. I beg for some respite. Suddenly, on the horizon, I see something approaching me - a woman dressed in an ethereal dress like clouds in the sky, atop a pale horse. She gazes at me with a neutral expression, and I ask her where I am, and where is the nearest town. She does not speak, but merely points in a certain direction, before riding off and disappearing.;Je me promène dans un champ qui s'étend d'horizon à horizon, perdu. Je voyage pour ce qui me semble des années et des années et je ne trouve aucun sens de l'orientation, et je commence à avoir peur. Je demande un répit. Soudain, à l'horizon, je vois quelque chose qui s'approche de moi : une femme vêtue d'une robe éthérée comme des nuages ??dans le ciel, au sommet d'un cheval pâle. Elle me regarde avec une expression neutre et je lui demande où je suis et quelle est la ville la plus proche. Elle ne parle pas, mais pointe simplement dans une certaine direction, avant de partir et de disparaître.;;;;;;;;;;x;x
VIETmisc.8237.a;I follow her directions.;Je suis ses instructions.;;;;;;;;;;;;x
VIETmisc.8238.desc;Some time later - I do not know how long - the faint image of a village appears. Hurrah! It is just as that mysterious woman pointed to me!\n\nAs I wake up from my strange dream, I can only think of one thing.;Quelque temps plus tard - je ne sais pas combien de temps - la faible image d'un village apparaît. Hourra ! C'est ce que cette mystérieuse femme a désigné pour moi !\n\nLorsque je me réveille de mon rêve étrange, je ne peux penser qu'à une chose.;;;;;;;;;;x;x
VIETmisc.8238.a;Who was that lady?;Qui était cette dame ?;;;;;;;;;;;;x
VIETmisc.8239.desc;He wanders the universe atop his mighty steed, aimlessly, as far as our mortal minds can comprehend. Finally, I meet this figure in my dream, whose appearance and purpose I cannot truly grasp. When I talk or gesture to him, all he does is nod sagely and point towards something far away. I try to reach towards the destination he indicated, but before I arrive, I wake up.;Il parcourt l'univers au sommet de son puissant cheval, sans aucun but, aussi loin que notre esprit mortel puisse le comprendre. Enfin, je rencontre cette figure dans mon rêve, dont je ne peux pas vraiment comprendre l'apparence et le but. Quand je lui parle ou que je lui fais un geste, il ne fait que hocher la tête et se diriger vers quelque chose de lointain. J'essaie d'atteindre la destination qu'il a indiquée, mais avant d'arriver, je me réveille.;;;;;;;;;;x;x
VIETmisc.8239.a;Who was that man, and where did he tell me to go?;Qui était cet homme et où m'a-t-il dit d'aller ?;;;;;;;;;;;;x
VIETmisc.8240.desc;There is a very small but thriving group of Chinese shoemakers living nearby. They ask for your support to help them build a small shrine to the ancient Chinese warlord Liu Bei, who, despite being a distant scion of the Han Dynasty, had humble beginnings as a shoemaker. They say Liu Bei was a virtuous and steadfast man, traits that surely reflect your great rule too.;Un groupe très restreint mais florissant de cordonniers chinois vit à proximité. Ils demandent votre soutien pour les aider à construire un petit sanctuaire à l'ancien seigneur de guerre chinois Liu Bei, qui, bien qu'il soit un lointain héritier de la dynastie des Han, a connu des débuts modestes en tant que cordonnier. Ils disent que Liu Bei était un homme vertueux et résolu, des traits qui reflètent sûrement votre grand règne aussi.;;;;;;;;;;x;x
VIETmisc.8240.a;Good luck with that. I'm sure you don't need my help.;Bonne chance avec ça. Je suis sûr que vous n'avez pas besoin de mon aide.;;;;;;;;;;;;x
VIETmisc.8240.b;I can provide a bit of monetary aid.;Je peux fournir un peu d'aide monétaire.;;;;;;;;;;;;x
