VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_three_kingdoms_xiahou_dun;Inspired by the Three Kingdoms General Xiahou Dun;Inspiré par le général des Trois Royaumes, Xiahou Dun;;;;;;;;;;;;x
VIET_three_kingdoms_xiahou_dun_desc;It is said that when an arrow struck his eye in battle, Cao Cao's general, Xiahou Dun, plucked out his eye and ate it, saying that he could not simply discard that which his parents gave him.;Il est dit que lorsqu'une flèche a frappé son œil au combat, le général de Cao Cao, Xiahou Dun, l'a arraché et l'a mangé, affirmant qu'il ne pouvait pas simplement se débarrasser de ce que ses parents lui avaient donné.;;;;;;;;;;;;x
VIET_three_kingdoms_lu_bu;Inspired by the Three Kingdoms General Lu Bu;Inspiré par le général des Trois Royaumes, Lu Bu;;;;;;;;;;;;x
VIET_three_kingdoms_lu_bu_desc;"Among men, Lu Bu. Among steeds, Red Hare.";"Parmi les hommes, Lu Bu. Parmi les chevaux, Lièvre Rouge.";;;;;;;;;;;;x
VIET_three_kingdoms_zhuge_liang;Inspired by the Three Kingdoms Strategist Zhuge Liang;Inspiré par le stratège des Trois Royaumes, Zhuge Liang;;;;;;;;;;;;x
VIET_three_kingdoms_zhuge_liang_desc;"Without modest simplicity, one cannot brighten volition. Without tranquility and serenity, one cannot reach far.";"Sans une simplicité modeste, on ne peut pas éclairer la volonté. Sans tranquillité et sérénité, on ne peut pas aller loin.";;;;;;;;;;;;x
VIET_three_kingdoms_sima_yi;Inspired by the Three Kingdoms Strategist Sima Yi;Inspiré par le stratège des Trois Royaumes, Sima Yi;;;;;;;;;;;;x
VIET_three_kingdoms_sima_yi_desc;This character greatly admires the Chinese general, strategist, and statesman Sima Yi. Though he has been overshadowed by his rival Zhuge Liang, few can deny he too had his own immense talents and capabilities - after all, few could even match the famed Zhuge Liang as something of an equal.;Ce personnage admire grandement le général, stratège et homme d'État Chinois Sima Yi. Bien qu'il ait été éclipsé par son rival Zhuge Liang, peu de gens peuvent le nier. Il possédait lui-même d'immenses talents et capacités. Après tout, peu de gens pouvaient égaler le célèbre Zhuge Liang.;;;;;;;;;;;;x
VIET_three_kingdoms_zhou_yu;Inspired by the Three Kingdoms Strategist Zhou Yu;Inspiré par le stratège des Trois Royaumes, Zhou Yu;;;;;;;;;;;;x
VIET_three_kingdoms_zhou_yu_desc;Handsome, charming, intelligent, cultured, and capable - what else could anyone want in an advisor? It is little wonder that this person greatly admires the character of Zhou Yu. If only he had not died so young!;Beau, charmant, intelligent, cultivé et capable - que demander de plus à un conseiller ? Il n'est pas étonnant que cette personne admire grandement le personnage de Zhou Yu. Si seulement il n'était pas mort si jeune !;;;;;;;;;;;;x
VIET_three_kingdoms_chen_gong;Inspired by the Three Kingdoms Strategist Chen Gong;Inspiré par le stratège des Trois Royaumes, Chen Gong;;;;;;;;;;;;x
VIET_three_kingdoms_chen_gong_desc;If only Lu Bu had listened to the virtuous and shrewd Chen Gong, how different Chinese history would have been! At the very least, that's what this person thinks.;Si seulement Lu Bu avait écouté le vertueux et astucieux Chen Gong, à quel point l'histoire chinoise aurait été différente ! À tout le moins, c'est ce que cette personne pense.;;;;;;;;;;;;x
VIET_three_kingdoms_diaochan;Inspired by the Three Kingdoms Noblewoman Diaochan;Inspiré par la noble femme des Trois Royaumes, Diaochan;;;;;;;;;;;;x
VIET_three_kingdoms_diaochan_desc;As a later poet would compose in honor of Diaochan, who sacrificed herself for a nation:\n\n"Wang Yun staked the empire's fate on a gentle maiden's charm\nSprear and shield were set aside, no soldier came to harm\nIn the fray at Tiger Pass three heroes fought in vain\nInstead the victory song was sung at Phoenix Pavilion.";Comme un poète le composerait plus tard en l'honneur de Diaochan, qui s'est sacrifié pour une nation:\n\n"Wang Yun a misé le destin de l'empire sur le charme d'une jeune fille douc \nL'apparence et le bouclier ont été mis de côté, aucun soldat n'est venu blesser\nDans la mêlée du Passage du Tigre, trois héros se sont battus au vain\nAlors que le chant de la victoire a été chanté au Pavillon de Phénix. ";;;;;;;;;;;;x
VIET_three_kingdoms_sun_shangxiang;Inspired by the Three Kingdoms Noblewoman Sun Shangxiang;Inspiré par la noble femme des Trois Royaumes, Sun Shangxiang;;;;;;;;;;;;x
VIET_three_kingdoms_sun_shangxiang_desc;Whoever said a woman can't fight well? Certainly not this person, who admires Sun Shangxiang.;Qui a dit qu'une femme ne peut pas bien se battre ? Certainement pas cette personne qui admire Sun Shangxiang.;;;;;;;;;;;;x
VIET_three_kingdoms_qiao_sisters;Inspired by the Three Kingdoms Noblewomen, the Qiao Sisters;Inspiré par les nobles femmes des Trois Royaumes, les Sœurs Qiao;;;;;;;;;;;;x
VIET_three_kingdoms_qiao_sisters_desc;The Qiao sisters are remembered as the devoted wives of the Chinese warlord Sun Ce and his general and friend Zhou Yu. The lascivious warlord Cao Cao coveted them, and his son supposedly wrote the following poem to express his father's desire:\n\n"Aloft on either side, twin towers —\nLeft, Jade Dragon, and Right, Golden Phoenix —\nHolding two Qiaos,\nOne would rejoice day and night.;On se souvient des sœurs Qiao comme des épouses dévouées du seigneur de guerre chinois Sun Ce et de son général et ami Zhou Yu. Le seigneur de guerre lascif, Cao Cao, les convoitait et son fils aurait écrit le poème suivant pour exprimer le désir de son père:\n\n"En haut de chaque côté, des tours jumelles —\nà gauche, le Dragon de Jade, et à droite, le Phénix d'Or —\ntenant deux Qiaos,\nquelqu'un se réjouirait jour et nuit.;;;;;;;;;;;;x
VIET_three_kingdoms_huang_yueying;Inspired by the Three Kingdoms Noblewoman Huang Yueying;Inspiré par la noble femme des Trois Royaumes, Huang Yueying;;;;;;;;;;;;x
VIET_three_kingdoms_huang_yueying_desc;There is a saying in China: "Don't be like Kongming when you choose a wife. He ended up with Huang Chengyan's ugly daughter, Huang Yueying." It was said Lady Huang may have actually been beautiful, but her father spread rumors that his talented daughter was ugly so that he could find a worthy son-in-law. This character, like Kongming, understands that an intelligent, capable woman is someone to be admired, no matter her looks.;Il y a un dicton en Chine : "Ne soyez pas comme Kongming lorsque vous choisissez une femme. Il s'est retrouvé avec la fille laide de Huang Chengyan, Huang Yueying." Il a été dit que Lady Huang avait peut-être été belle, mais son père avait répandu des rumeurs selon lesquelles sa talentueuse fille était laide pour pouvoir trouver un digne fils. Ce personnage, comme Kongming, comprend qu'une femme intelligente et capable est une personne à admirer, peu importe son apparence.;;;;;;;;;;;;x
VIET_liu_bei_shoemaker_shrine_small;Small Shrine to Liu Bei;Petit sanctuaire de Liu Bei;;;;;;;;;;;;x
VIET_liu_bei_shoemaker_shrine_large;Large Shrine to Liu Bei;Grand sanctuaire de Liu Bei;;;;;;;;;;;;x
VIET_italian_merchant_support;Supported Italian Merchants against Local Officials;A soutenu les marchands italiens contre les officiels locaux;;;;;;;;;;;;x
VIET_byzantine_noble_support;Supported Local Officials against Italian Merchants;A soutenu les officiels locaux contre les marchands italiens;;;;;;;;;;;;x
VIET_negotiated_italian_deals;Negotiated Deals with Italian Merchants;A négocié avec des marchands italiens;;;;;;;;;;;;x
VIET_negotiated_italian_deals_desc;The leadership here was initially involed in some disputes with Italian merchants operating locally. However, through some careful negotiations, a deal was established that benefits both sides.;Les dirigeants ont été impliqués dans des conflits avec des marchands italiens opérant localement. Toutefois, grâce à des négociations minutieuses, un accord a été conclu qui bénéficie aux deux parties.;;;;;;;;;;;;x
VIET_italian_merchant_negotiator;Negotiator for Italian Merchants;Négociateur pour les marchands italiens;;;;;;;;;;;;x
VIET_italian_merchant_negotiator_desc;This character first rose to prominence acting as a negotiator for a collective group of Italian merchants seeking to make profitable deals with officials serving local regimes in the Eastern Mediterranean.;Ce personnage s'est d'abord fait connaître en tant que négociateur pour un groupe de marchands italiens cherchant à conclure de bonnes affaires avec des fonctionnaires servant les régimes locaux de la Méditerranée orientale.;;;;;;;;;;;;x
VIET_baklava_merchant_origin;Baklava Merchant;Marchand de baklava;;;;;;;;;;;;x
VIET_baklava_merchant_origin_desc;This man was once a baklava merchant. He still to this day treats his guests to the most syrupy and sweetest baklava ever.;Cet homme était autrefois un marchand de baklava. Aujourd'hui encore, il offre à ses invités le baklava le plus sirupeux et le plus sucré de tous les temps.;;;;;;;;;;;;x
VIET_open_minded_ruler;Open Minded Ruler;Souverain ouvert d'esprit;;;;;;;;;;;;x
VIET_eerie_story;Eerie Story;Histoire mystérieuse;;;;;;;;;;;;x
VIET_eerie_story_desc;This character was recently told an eerie story. There are many strange things out there!;Ce personnage a récemment été raconté une histoire étrange. Il y a beaucoup de choses étranges là-bas !;;;;;;;;;;;;x
VIET_upright_official;Upright Official;Fonctionnaire droit;;;;;;;;;;;;x
VIET_upright_official_desc;This character was previously a lesser civil official, known for being extremely upright, fair, and capable in administrative dealings.;Ce personnage était auparavant un fonctionnaire civil de moindre importance, connu pour son extrême droiture, son équité et sa capacité à gérer des affaires administratives.;;;;;;;;;;;;x
VIET_promoted_minor_official;Promoted Minor Official of Inferior Origins;Fonctionnaire mineur promu de basse extraction;;;;;;;;;;;;x
VIET_promoted_minor_official_desc;This character recently promoted a lesser official who was being ignored by his superiors, despite possessing great skill and talent, simply due to having a humble, inferior family background.;Ce personnage a récemment promu un fonctionnaire de rang inférieur ignoré par ses supérieurs, malgré ses compétences et son talent exceptionnel, du simple fait de son ascendance familiale humble et inférieure.;;;;;;;;;;;;x
VIET_talented_humble_official;Talented Official of Humble Origins;Fonctionnaire talentueux de basse extraction;;;;;;;;;;;;x
VIET_talented_humble_official_desc;Rumors abound that this man's mother was a common whore. Whatever the truth may be, it is undeniable he had very humble origins, yet despite this he made a name for himself as a talented and capable official.;Les rumeurs abondent sur le fait que la mère de cet homme était une putain ordinaire. Quoi qu'il en soit, il est indéniable qu'il a des origines très modestes. Malgré cela, il s'est fait connaître en tant que fonctionnaire talentueux et compétent.;;;;;;;;;;;;x
VIET_bread_crust_lover;Bread Crust Lover;Amoureux de la croûte de pain;;;;;;;;;;;;x
VIET_bread_crust_lover_desc;This person's love of eating bread crusts is known throughout the land.;L'amour de cette personne pour manger des croûtes de pain est connu dans tout le pays.;;;;;;;;;;;;x
VIET_wolf_protector;Mysterious Wolf Protector;Protecteur du loup mystérieux;;;;;;;;;;;;x
VIET_wolf_protector_desc;What is that lone wolf, always standing around in the far distance, watching as if it were guarding something?;Qu'est-ce que ce loup solitaire, toujours debout au loin, regardant comme s'il gardait quelque chose ?;;;;;;;;;;;;x
VIET_province_blacksmiths_renowned;Renowned Blacksmiths;Forgerons de renom;;;;;;;;;;;;x
VIET_magnificent_castle_dream;Dreamt of a Magnificent Castle;Rêvé d'un magnifique château;;;;;;;;;;;;x
VIET_notorious_jailbreak;Notorious Jailbreak;Évadé notoire;;;;;;;;;;;;x
VIET_notorious_jailbreak_desc;A violent and deranged criminal kept in this character's prison escaped and went on a murder spree before being caught. This reflects badly on this person's leadership and management abilities.;Un criminel violent et dérangé, détenu dans la prison de ce personnage, s’est échappé et a entrepris une tuerie avant d’être arrêté. Cela a une incidence négative sur les capacités de leadership et de gestion de cette personne.;;;;;;;;;;;;x
VIET_province_forest_spirit_guardian;Benevolent Forest Spirit;Esprit bienveillant de la forêt;;;;;;;;;;;;x
VIET_province_forest_spirit_guardian_desc;Rumor has it that there is a benevolent spirit living in the forests of this province, who protects the locals from both worldly and spiritual dangers.;La rumeur dit qu'il y a un esprit bienveillant qui vit dans les forêts de cette province et qui protège la population locale des dangers terrestres et spirituels.;;;;;;;;;;;;x
VIET_province_mad_scientist_rumors;Mad Scholar;Chercheur fou;;;;;;;;;;;;x
VIET_province_mad_scientist_rumors_desc;They say some sort of alchemist or sorcerer lives here, engaging in all sorts of unholy experiments, yet no one has found conclusive proof of this.;On dit qu'un alchimiste ou un sorcier vit ici, s'engageant dans toutes sortes d'expériences impures, mais personne n'en a trouvé la preuve concluante.;;;;;;;;;;;;x
VIET_province_abandoned_village;Villagers Disappeared;Villageois disparus;;;;;;;;;;;;x
VIET_province_abandoned_village_desc;An entire village in this province somehow disappeared overnight. Its buildings and roads remain, but none of its inhabitants could be found.;Un village entier dans cette province a disparu du jour au lendemain. Ses bâtiments et ses routes subsistent, mais aucun de ses habitants n'a pu être retrouvé.;;;;;;;;;;;;x
VIET_province_perfect_marriage;Perfect Marriage;Mariage parfait;;;;;;;;;;;;x
VIET_province_perfect_marriage_desc;A wedding between the son and daughter of two powerful families who were perfectly suited for one another was recently held here. What is amazing, however, was that supposedly at the wedding, various good omens and signs from heaven appeared. Surely the people here are blessed!;Un mariage entre le fils et la fille de deux familles puissantes et parfaitement adaptées l'une à l'autre a récemment eu lieu ici. Ce qui est étonnant, cependant, c'est qu'au moment des noces, plusieurs bons présages et signes du ciel sont apparus. Les gens d'ici sont bénis !;;;;;;;;;;;;x
VIET_muslim_republic_adopted_urchin;Adopted me when I was a street urchin;M'a adopté quand j'étais un gamin des rues;;;;;;;;;;;;x
VIET_aladdin_street_rat;Street Rat;Rat des rues;;;;;;;;;;;;x
VIET_aladdin_street_rat_desc;As a child, tragic circumstances led this man to becoming a street rat. His life changed when he tried to pickpocket a patrician - this patrician, impressed with the boy's bravery and bravado, adopted him. He has adjusted to his new life but still retains the sharpness and guile that allowed him to survive.;Enfant, les circonstances tragiques ont conduit cet homme à devenir un rat de rue. Sa vie a changé quand il a essayé de voler un patricien - ce patricien, impressionné par la bravoure et la bravade du garçon, l'a adopté. Il s'est adapté à sa nouvelle vie mais conserve toujours la netteté et la ruse qui lui ont permis de survivre.;;;;;;;;;;;;x
VIET_opinion_disappointed;Disappointed;Désappointé;;;;;;;;;;;;x
VIET_opinion_likes_to_be_silly_with_me;Silly Together;Idiot ensemble;;;;;;;;;;;;x
VIET_province_ancient_cistern_restored;Ancient Cistern Restored;Ancienne citerne restaurée;;;;;;;;;;;;x
VIET_province_colorful_rain_good;Colorful Rain;Pluie colorée;;;;;;;;;;;;x
VIET_province_colorful_rain_good_desc;It recently rained in this province, but the strange thing about it was that the rain was quite colorful. They say that this is a sign of good fortune to come for the inhabitants of this province.;Il a récemment plu dans cette province, mais ce qui est étrange, c'est que la pluie était assez colorée. Ils disent que c'est un signe de bonne fortune à venir pour les habitants de cette province.;;;;;;;;;;;;x
VIET_province_colorful_rain_bad;Colorful Rain;Pluie colorée;;;;;;;;;;;;x
VIET_province_colorful_rain_bad_desc;It recently rained in this province, but the strange thing about it was that the rain was quite colorful. They say that this is an ill omen of misfortunes to come for the inhabitants of this province.;Il a récemment plu dans cette province, mais ce qui est étrange, c'est que la pluie était assez colorée. Ils disent que c'est un mauvais présage de malheurs à venir pour les habitants de cette province.;;;;;;;;;;;;x
VIET_read_book_hotel_del_luna;Recently Read an Amazing Novel about Love and Life;A lu récemment un roman étonnant sur l'amour et la vie;;;;;;;;;;;;x
VIET_read_book_hotel_del_luna_desc;Every now and then, we come across a great story where we least expect it.;De temps en temps, nous rencontrons une grande histoire où nous nous y attendons le moins.;;;;;;;;;;;;x
VIET_mysterious_vision_past;Mysterious Vision of the Past;Vision mystérieuse du passé;;;;;;;;;;;;x
VIET_mysterious_vision_past_desc;Was that vision truly from some past life?;Cette vision venait-elle vraiment d'une vie passée ?;;;;;;;;;;;;x
VIET_read_book_cute_love_story;Read Simple Love Story;A lu une Histoire d'Amour Simple;;;;;;;;;;;;x
VIET_read_book_cute_love_story_desc;Sometimes, it is the simple, endearing stories that affect us the most.;Parfois, ce sont les histoires simples et attachantes qui nous touchent le plus.;;;;;;;;;;;;x
VIET_second_hand_embarassment;Experienced Second Hand Embarrassment;A vécu l'embarras de la seconde main;;;;;;;;;;;;x
VIET_province_popular_oblivion_wayshrine;Old Wayshrine;Ancien Sanctuaire;;;;;;;;;;;;x
VIET_province_popular_oblivion_wayshrine_desc;An old wayshrine in this region has recently become quite famous, attracting pilgrims and travelers from afar. It is a boost to the local economy.;Un ancien sanctuaire dans cette région est récemment devenu très célèbre, attirant des pèlerins et des voyageurs de loin. C'est un coup de pouce à l'économie locale.;;;;;;;;;;;;x
VIET_bought_discount_merchandise;Bought Cheap, Discounted Merchandise;A acheté de la marchandise bon marché et à prix réduit;;;;;;;;;;;;x
VIET_bought_discount_merchandise_desc;"You don't want the very best. You want cheap. I got cheap.";" Vous ne voulez pas le meilleur. Vous voulez du bon marché. J'ai été bon marché.";;;;;;;;;;;;x
VIET_shadowbanish_wine;Drank Bottle of "Shadow Banish" Wine;A bu la bouteille de vin "Shadow Banish";;;;;;;;;;;;x
VIET_shadowbanish_wine_desc;This character drank a bottle of a special wine which supposedly has the ability to improve one's eyesight at night, and see that which could not otherwise be seen in the darkness.;Ce personnage a bu une bouteille d'un vin spécial qui a soi-disant la capacité d'améliorer sa vue la nuit, et de voir ce qui ne pourrait pas être vu autrement dans l'obscurité.;;;;;;;;;;;;x
VIET_minor_curse;Rumors of a Curse;Rumeurs d'une malédiction;;;;;;;;;;;;x
VIET_minor_curse_desc;This character is rumored to have been on the receiving end of a minor curse. Is it true, or is it just everyone's imagination? No one knows for sure.;Ce personnage aurait été victime d'une malédiction mineure. C'est vrai, ou c'est juste l'imagination de tout le monde ? Personne ne le sait avec certitude.;;;;;;;;;;;;x
VIET_mazoga_the_orc;Knight of Dubious Origin;Chevalier d'origine douteuse;;;;;;;;;;;;x
VIET_mazoga_the_orc_desc;This woman of dubious origins is a self-proclaimed knight. Whether her claims are true or not, her skill in battle is not to be scoffed at, nor is her deep sense of justice.;Cette femme aux origines douteuses est un chevalier autoproclamé. Que ses affirmations soient vraies ou non, il ne faut pas se moquer de son habileté au combat, ni de son profond sens de la justice.;;;;;;;;;;;;x
VIET_ontus_vanin_character;Lazy Old Scholar;Vieil érudit paresseux;;;;;;;;;;;;x
VIET_ontus_vanin_character_desc;This retired, old scholar enjoys sleeping in late and reading trashy books. He also has a lot of knowledge about local shrines and geography.;Ce vieil érudit à la retraite aime faire la grasse matinée et lire des livres vulgaires. Il a aussi beaucoup de connaissances sur les sanctuaires locaux et la géographie.;;;;;;;;;;;;x
VIET_runs_in_circles;Runs In Circles;Tourne en rond;;;;;;;;;;;;x
VIET_runs_in_circles_desc;Most of the time this lady acts odd but relatively normal. However, she is a madwoman. The moment she gets provoked, she'll start screaming “Ni ni ni ni ni!” and running around in circles, hence her nickname, “Runs in Circles.”;La plupart du temps, cette dame agit bizarrement mais relativement normalement. Cependant, c'est une folle. Dès qu'elle est provoquée, elle se met à crier "Ni ni ni ni ni !" et à courir en rond, d'où son surnom, "Court en rond".;;;;;;;;;;;;x
VIET_province_elder_scrolls_mudcrab;Giant Mudcrab;Crabe de boue géant;;;;;;;;;;;;x
VIET_province_elder_scrolls_mudcrab_desc;In this province, there have been purported sightings of an otherworldly, giant mudcrab wandering the coast and rivers.;Dans cette province, on a prétendu avoir vu un énorme crabe de boue d'un autre monde qui errait sur la côte et dans les rivières.;;;;;;;;;;;;x
VIET_anvil_dream_gold_coast;Dreamt of a Golden Coastline;A rêvé d'une côte d'or;;;;;;;;;;;;x
VIET_anvil_dream_gold_coast_desc;Far from the bustling of the port city was an untouched, pristine coast. The beaches were warm and sandy, with clear waters, and the nearby terrain was filled with thriving, golden grasses and small shrubs and plants scattered among the rocks.;Loin de l'agitation de la ville portuaire se trouvait une côte vierge et intacte. Les plages étaient chaudes et sablonneuses, avec des eaux claires, et le terrain voisin était rempli d'herbes florissantes et dorées et de petits arbustes et plantes éparpillés parmi les rochers.;;;;;;;;;;;;x
VIET_anvil_dream_ladys_stone;Dreamt of the Lady's Stone;A rêvé de la Pierre de la Dame;;;;;;;;;;;;x
VIET_anvil_dream_ladys_stone_desc;It was an ancient standing stone - the locals said it was supposedly built in a mythic era, when the barriers between the divine and human worlds had not yet existed. Whatever it is, in its presence one can surely feel the weight of timeless existence.;C'était une ancienne pierre debout - les habitants ont dit qu'elle aurait été construite à une époque mythique, lorsque les barrières entre les mondes divin et humain n'existaient pas encore. Quoi qu'il en soit, en sa présence on peut sûrement sentir le poids de l'existence intemporelle.;;;;;;;;;;;;x
VIET_anvil_dream_anvil_docks;Dreamt of the Bustling Docks of a Port City;A rêvé des quais animés d'une ville portuaire;;;;;;;;;;;;x
VIET_anvil_dream_anvil_docks_desc;Many of the town's folk were directly or indirectly associated with ships and sailing... sailors, ship-owners, men made rich and poor by the sea trade, and the lonely wives of men who follow the sea.;Beaucoup de gens de la ville étaient directement ou indirectement associés aux navires et à la navigation... les marins, les armateurs, les hommes rendus riches et pauvres par le commerce maritime, et les femmes solitaires des hommes qui suivent la mer.;;;;;;;;;;;;x
VIET_anvil_dream_anvil_streets;Dreamt of the Beautiful Streets of a Port City;A rêvé des belles rues d'une ville portuaire;;;;;;;;;;;;x
VIET_anvil_dream_anvil_streets_desc;It was initially just supposed to be a mundane walk through the cobbled streets. But when the sun began to set, and its fading rays illuminated the rose-fired sky behind the marbled buildings and olive trees.... This was beauty, true and simple, indeed!;Au départ, cela devait être une simple promenade dans les rues pavées. Mais quand le soleil a commencé à se coucher, et que ses rayons déclinants ont illuminé le ciel de rose derrière les bâtiments marbrés et les oliviers... C'était de la beauté, vraie et simple, en effet !;;;;;;;;;;;;x
VIET_Oblivion_dream_complete_alt;Dream of Adventure;Rêve d'aventure;;;;;;;;;;;;x
VIET_Oblivion_dream_complete_desc_alt;This character once had a most epic dream. In it, they helped a long-lost Prince and his allies defend their home and Empire from a demonic army invading from the gates of hell itself... or at least they were supposed to, but instead got distracted running around doing random quests and errands for the locals. So vivid was this dream that to this day this character still recalls it.;Ce personnage a déjà fait un rêve des plus épiques. Dans ce rêve, ils aidaient un Prince perdu depuis longtemps et ses alliés à défendre leur maison et leur Empire contre une armée démoniaque qui les envahissait par les portes de l'enfer... ou du moins ils étaient censés le faire, mais au lieu de cela, ils se sont laissés distraire en faisant des quêtes et des courses au hasard pour les habitants du coin. Ce rêve était si vif que ce personnage s'en souvient encore aujourd'hui.;;;;;;;;;;;;x
VIET_opinion_didnt_believe_me;Didn't Believe Me;Ne m'a pas cru;;;;;;;;;;;;x
VIET_opinion_believes_me;Believed Me;M'a cru;;;;;;;;;;;;x
VIET_comforting_dream_deceased;Comforting Dream of the Deceased;Rêve réconfortant des défunts;;;;;;;;;;;;x
VIET_comforting_dream_deceased_desc;This character recently had a comforting dream about someone dear to them who recently passed away.;Ce personnage a récemment fait un rêve réconfortant sur une personne qui lui était chère et qui est décédée récemment.;;;;;;;;;;;;x
VIET_deathbed_wisdom;Deathbed Wisdom;Sagesse sur le lit de mort;;;;;;;;;;;;x
VIET_deathbed_wisdom_desc;This character recently received some valuable advice or insights from someone close to them before they passed away.;Ce personnage a récemment reçu de précieux conseils ou informations de la part d'un proche avant son décès.;;;;;;;;;;;;x
VIET_rat_spirit_blessings;Creature's Mysterious Blessings;Les mystérieuses bénédictions de la créature;;;;;;;;;;;;x
VIET_rat_spirit_blessings_desc;Are not the creatures of the earth our brothers and sisters too?;Les créatures de la terre ne sont-elles pas aussi nos frères et sœurs ?;;;;;;;;;;;;x
VIET_dying_acquaintance_advice;Dying Acquaintance's Advice;Conseils d'une connaissance mourante;;;;;;;;;;;;x
VIET_dying_acquaintance_advice_desc;This character received advice on various matters from an acquaintance who claimed it was provided by the spirits of the dead. Strangest of all, the advice has been quite helpful.;Ce personnage a reçu des conseils sur diverses questions de la part d'une connaissance qui prétendait qu'ils étaient fournis par les esprits des morts. Le plus étrange, c'est que ces conseils ont été très utiles.;;;;;;;;;;;;x
VIET_province_ghostly_visitors_blessing;Blessed by Local Spirits;Bénie par les esprits locaux;;;;;;;;;;;;x
VIET_province_ghostly_visitors_blessing_desc;Recent ghost sightings correlate with an increase in prosperity in the region... or at least so some claim. Others are more skeptical.;Les récentes observations de fantômes sont en corrélation avec une augmentation de la prospérité dans la région... ou du moins c'est ce que certains prétendent. D'autres sont plus sceptiques.;;;;;;;;;;;;x
VIET_province_ghostly_visitors_curse;Cursed by Local Spirits;Maudit par les esprits locaux;;;;;;;;;;;;x
VIET_province_ghostly_visitors_curse_desc;Recent ghost sightings correlate with an increase in difficulties the region... or at least so some claim. Others are more skeptical.;Les récentes observations de fantômes sont en corrélation avec une augmentation des difficultés de la région... ou du moins c'est ce que certains prétendent. D'autres sont plus sceptiques.;;;;;;;;;;;;x
VIET_province_respected_elder_death_blessings;Elder's Blessings;Bénédictions des aînés;;;;;;;;;;;;x
VIET_province_respected_elder_death_blessings_desc;An elder from one of the local villages, widely revered and renowned throughout the region, has recently passed away. Some say that recent boons in the area are thanks to his benevolent spirit.;Un ancien d'un des villages locaux, très vénéré et renommé dans toute la région, est décédé récemment. Certains disent que les récents bienfaits de la région sont dus à son esprit bienveillant.;;;;;;;;;;;;x
VIET_curse_of_giltine;Curse of Giltine;La malédiction de Giltine;;;;;;;;;;;;x
VIET_curse_of_giltine_desc;This character had a nightmare about Giltine, a Baltic goddess of death. Could it be the cause of this character's recent slew of bad luck? Or is that just pure coincidence?;Ce personnage a fait un cauchemar sur Giltine, une déesse balte de la mort. Serait-ce la cause de la récente série de malchance de ce personnage ? Ou est-ce juste une pure coïncidence ?;;;;;;;;;;;;x
VIET_deaths_blessing;Death's Blessing;La bénédiction de la mort;;;;;;;;;;;;x
VIET_deaths_blessing_desc;Rumor has it that Death, in the form of a young maiden, visited this character by accident in a dream or a vision and, due to this character's politeness, decided to bless them with fortune and good luck. So they say, of course. Among the living, the truth of the matter might never be truly known.;La rumeur veut que la Mort, sous la forme d'une jeune fille, ait rendu visite à ce personnage par hasard dans un rêve ou une vision et, en raison de la politesse de ce personnage, ait décidé de le bénir avec la fortune et la bonne chance. C'est ce qu'ils disent, bien sûr. Chez les vivants, la vérité pourrait ne jamais être vraiment connue.;;;;;;;;;;;;x
VIET_zombie_outbreak_stories;Rumors of Undead;Rumeurs de morts-vivants;;;;;;;;;;;;x
VIET_zombie_outbreak_stories_desc;There are rumors of the undead rising from their graves in this region. Many educated and learned men, from scholars to clergy, believe these are probably just the ramblings of ignorant peasants. Probably.;Il y a des rumeurs selon lesquelles des morts-vivants sortiraient de leurs tombes dans cette région. De nombreux hommes instruits et cultivés, des érudits au clergé, pensent que ce ne sont probablement que les divagations de paysans ignorants. Probablement.;;;;;;;;;;;;x
VIET_happy_memory_of_parents;Recalled Happy Memory about Parents;Rappel de la mémoire heureuse des parents;;;;;;;;;;;;x
VIET_province_procession_of_the_dead;Sightings of Processions of the Dead;Observations des processions des morts;;;;;;;;;;;;x
VIET_province_serial_killer_found;Serial Killer Found;Un tueur en série a été trouvé;;;;;;;;;;;;x
VIET_province_serial_killer_found_desc;A serial killer who happened to be a nobleman terrorized the region for some time. However, a number of clever guards found a way to ambush him, and the man preferred death over being captured alive. Nevertheless, the locals are very much relieved at the turn of events.;Un tueur en série, qui se trouvait être un noble, a terrorisé la région pendant un certain temps. Cependant, un certain nombre de gardes intelligents ont trouvé un moyen de lui tendre une embuscade, et l'homme a préféré la mort à la capture vivante. Néanmoins, les habitants sont très soulagés de la tournure des événements.;;;;;;;;;;;;x
VIET_province_literal_ghost_town;Mundane Ghostly Sightings;Observations fantomatiques banales;;;;;;;;;;;;x
VIET_province_literal_ghost_town_desc;It seems even ghosts engage in boring, everyday activities like eating, conversation, and games - or at least so the recent ghost sightings in this region would suggest. Who knows if such stories are fabrications or true, eyewitness accounts!;Il semble que même les fantômes se livrent à des activités quotidiennes ennuyeuses comme manger, discuter et jouer - du moins, c'est ce que suggèrent les récentes observations de fantômes dans cette région. Qui sait si ces histoires sont des fabrications ou des témoignages réels !;;;;;;;;;;;;x
VIET_province_death_of_several_officials;Multiple Deaths in Administration;Décès multiples dans l'administration;;;;;;;;;;;;x
