#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffnotific.22;I have many talents... \n...but pretending to be modest is not one of them.;J'ai beaucoup de talents ... \n ... mais faire semblant d'être modeste n'est pas l'un d'eux.;;;;;;;;;;;;x;
EVTOPTAffnotific.22;Everything I do, I feel is genius.;Tout ce que je fais, je le sens est génial.;;;;;;;;;;;;x;
EVTDESCffnotific.23;Of course I can run into the woods all by myself. \nYou just watch!;Bien sûr, je peux courir dans les bois par moi-même. \nVous avez juste à regarder !;;;;;;;;;;;;x;
EVTOPTAffnotific.23;What was I thinking? Now I'm lost... That was stupid!;A quoi je pensais? Maintenant, je suis perdu ... C'était stupide!;;;;;;;;;;;;x;
EVTDESCffnotific.24;I didn't know you were still awake...;Je ne savais pas que vous étiez encore éveillé ...;;;;;;;;;;;;x;
EVTOPTAffnotific.24;What do you mean - I woke you? This is outrageous - I AM NOT LOUD!!;Qu'est-ce que tu veux dire - je t'ai réveillé? C'est scandaleux - JE NE SUIS PAS BRUYANT!!;;;;;;;;;;;;x;
EVTDESCffnotific.25;Oh, I can't stand it, this is so boring. \nThere's so much adventure and glory in the world...\n\nWe should be out there!;Oh, je ne peux pas supporter ça, c'est tellement ennuyeux. \n Il ya tellement d'aventure et de gloire dans le monde ... \n et Nous devrions être là-bas!;;;;;;;;;;;;x;
EVTOPTAffnotific.25; Shall we start our own Crusade?!;Allons-nous commencer notre propre croisade ?!;;;;;;;;;;;;x;
EVTDESCffnotific.26;I pride myself in walking \nthe straight and narrow path.;Je suis fier de marcher \n dans ce chemin droit et étroit.;;;;;;;;;;;;x;
EVTOPTAffnotific.26;And when it comes to matters of principle, I stand like a rock.;Et quand il s'agit de questions de principe, je me tiens comme un roc.;;;;;;;;;;;;x;
EVTDESCffnotific.27;Can you guess what I'll give you on your birthday?;Pouvez-vous deviner ce que je vais vous donner pour ton anniversaire?;;;;;;;;;;;;x;
EVTOPTAffnotific.27;Yes! But... how did you know?!;Oui! Mais ... comment saviez-vous?;;;;;;;;;;;;x;
EVTDESCffnotific.28;First and foresmost, \nI'd like to reiterate once again at this day and time \nhow important it is to acknowledge the seriousness of the matter \nI bring to you which I would like to further expand...;D'abord je tiens à rappeler une fois encore à ce jour et l'heure \n combien il est important de reconnaître la gravité de la question \n je vous apporte ce dont je voudrais discuter...;;;;;;;;;;;;x;
EVTOPTAffnotific.28;...if you'll pardon me for requesting a brief moment of your attention.;... si vous me pardonnezje vous demande un bref moment de votre attention.;;;;;;;;;;;;x;
EVTDESCffnotific.29;\nFirst, I look for a definite, clear idea.\n\nThen, I look for the means to achieve it.;Tout d'abord, je choisit un but à atteindre en une durée déterminé. \nEt ensuite, je cherche les moyens d'y parvenir.;ADDED BY ASH;;;;;;;;;;;;x
EVTOPTAffnotific.29;Simple as that.;C'est aussi simple que cela.;;;;;;;;;;;;x;
EVTDESCffnotific.30;To forgive is to forget.\n\n\nAnd I remember.;Pardonner, c'est oublier.\nEt je me souviens.;;;;;;;;;;;;x;
EVTOPTAffnotific.30;Oh, I do remember!;Oh, je m'en souviens!;;;;;;;;;;;;x;
EVTDESCffnotific.31;Once I decide on something, \nonce the word is uttered...\n...there's no turning back.\nNo way of undoing it.;Une fois que je décide quelque chose, \n une fois que le mot est prononcé ... \n ... il n'y a pas de retour en arrière possible. \n Aucun moyen de le défaire.;;;;;;;;;;;;x;
EVTOPTAffnotific.31;I stand by my words.;Je maintiens mes propos.;;;;;;;;;;;;x;
EVTDESCffnotific.32;No, I'm no good with words.\n\nMaybe... numbers.;Non, je ne suis pas doué avec les mots. Peut être avec les chiffres....;;;;;;;;;;;;x;
EVTOPTAffnotific.32;I like the sound of coins in my purse.;J'aime le son des pièces de monnaie dans mon porte-monnaie.;;;;;;;;;;;;x;
EVTDESCffnotific.33;Oh, I recall happier times.\nBut, with time, things are lost and \ncannot return. So many have perished.\nWe should honour their memory...;Oh, je me souviens des temps plus heureux. \n Mais, avec le temps, les choses sont perdues et \n ne peuvent plus revenir. Tant de gens ont péri. \nNous devons honorer leur mémoire ...;;;;;;;;;;;;x;
EVTOPTAffnotific.33;...by fighting for the same values they once held dear.;.. en luttant pour les mêmes valeurs qui les tenaient à cœur.;;;;;;;;;;;;x;
EVTDESCffnotific.34;Enjoy yourselves.\nWhere's the liquor brewed by the gods?\nAnd bring out the singers too.\nLet's have some music in here!;Amusez-vous bien. \n Où est la liqueur brassée par les dieux ? \nEt faites sortir les chanteurs. \n Ayons un peu de musique ici!;;;;;;;;;;;;x;
EVTOPTAffnotific.34;Nothing like eating and drinking by the fire with friends.;Rien de tel que de manger et de boire au coin du feu avec des amis.;;;;;;;;;;;;x;
EVTDESCffnotific.35;I just speak the truth.;Je dis juste la vérité.;;;;;;;;;;;;x;
EVTOPTAffnotific.35;True eloquence consists in saying all that should be said.;La véritable éloquence consiste à dire tout ce qui doit être dit.;;;;;;;;;;;;x;
EVTDESCffnotific.36;Am I dying?!\nTell the truth! I don't feel any pain but\n there's so much blood. Please, I need to confess...\nWait, why are you laughing?;Suis-je en train de mourir?! \n Dites la vérité ! Je ne ressens aucune douleur, mais \n il ya tellement de sang. S'il vous plaît, je dois savoir ... \n Attendez, pourquoi riez vous ?;;;;;;;;;;;;x;
EVTOPTAffnotific.36;I fell on top of a chicken?!;Je suis tombé sur une poule mouillée !;;;;;;;;;;;;x;
EVTDESCffnotific.37;Oh, I do not understand a word.\nIs this latin? So boring.;Oh, je ne comprends pas un mot. \n Est ce du latin? C'est si ennuyeux...;;;;;;;;;;;;x;
EVTOPTAffnotific.37;Why waste time with books?;Pourquoi perdre du temps avec des livres?;;;;;;;;;;;;x;
EVTDESCffnotific.38;Will we have to wait much longer?\nI hate standing around...;Devrons-nous attendre encore longtemps? \n Je déteste rester debout...;;;;;;;;;;;;x;
EVTOPTAffnotific.38;Nature thrives on patience, man on impatience.;Nature se nourrit de patience, l'homme sur l'impatience.;;;;;;;;;;;;x;
EVTDESCffnotific.39;Yes, I like the painting. Maybe add a few more ducks in the pond. Hmm, maybe not. What about some angels flying above me? Too grand? Yes, maybe some children surrounding me then.\nBetter yet, me with a big sword!;Oui, j'aime la peinture. Peut-être ajouter quelques canards de plus dans l'étang. Hmm, peut-être pas. Qu'en est-il des anges qui volent au-dessus de moi? Trop grand? Oui, peut-être quelques enfants autour de moi alors. \n Mieux encore, moi avec une grande épée!;;;;;;;;;;;;x;
EVTOPTAffnotific.39;I may not know much about art, but I certainly know what I want.;Je n'en sais pas beaucoup sur l'art, mais je sais ce que je veux.;;;;;;;;;;;;x;
EVTDESCffnotific.40;So you're new here?\nSit and have a drink with us!\nWhat's you name?;Alors vous êtes nouveau ici ? Venez donc boire un verre avec nous! \n Quel est votre nom ?;;;;;;;;;;;;x;
EVTOPTAffnotific.40;Nice to meet you!;Ravi de vous rencontrer!;;;;;;;;;;;;x;
EVTDESCffnotific.41;No, I promised I would keep this a secret.\n\nOh, well, swear you'll carry it to your grave and\nI might consider sharing what I know.;Non, j'ai promis de garder ça secret. \nOh, eh bien, jurez que vous allez le porter dans votre tombe et je pourrait envisager de partager ce que je sais.;;;;;;;;;;;;x;
EVTOPTAffnotific.41;My mouth follow my ears.;Ma bouche est aussi efficace que mes oreilles.;;;;;;;;;;;;x;
EVTDESCffnotific.42;Gentlemen - we are at war!\nAnd I will not speak to the court wearing a mantle \nthat does not match my breeches. Oh, and this belt \nmust have more jewels in it.;Messieurs - nous sommes en guerre \nEt je ne parlerai pas au tribunal vêtu d'un manteau qui ne correspond pas à ma culotte ! Oh, et cette ceinture... je dois avoir plus de bijoux en elle.;;;;;;;;;;;;x;
EVTOPTAffnotific.42;The belt is a priority!;La ceinture est une priorité!;;;;;;;;;;;;x;
EVTDESCffnotific.43;I look for opportunities to be \nin a position of power and trust.;Je cherche des occasions d'êtreen position de pouvoir et de confiance.;;;;;;;;;;;;x;
EVTOPTAffnotific.43;But I would never take advantage of you, my dear friend.;Mais je ne pourrais plus jamais profiter de vous, mon cher ami.;;;;;;;;;;;;x;
EVTDESCffnotific.44;This won't stop us.;Cela ne nous arretera pas.;;;;;;;;;;;;x;
EVTOPTAffnotific.44;You'll have to try harder than that.;Vous aurez à faire plus d'efforts que cela.;;;;;;;;;;;;x;
EVTDESCffnotific.45;Yesterday, late at night, my grandfather told me I should fear for my life if I met a knight in black armour. No, it wasn't a dream!\nI saw my grandfather's shadow!;Hier, tard dans la nuit, mon grand-père m'a dit que je devais craindre pour ma vie si je rencontrais un chevalier en armure noire. Non, ce n'était pas un rêve! J'ai vu l'ombre de mon grand-père!;;;;;;;;;;;;x;
EVTOPTAffnotific.45;My dead grandfather spoke to me, I'm sure.;Mon grand-père mort m'a parlé, j'en suis sûr.;;;;;;;;;;;;x;
EVTDESCffnotific.46;I do not know how to explain it.\nI simply trust this small voice inside of me.;Je ne sais pas comment l'expliquer. \n Je fais simplement confiance à cette petite voix au fond de moi.;;;;;;;;;;;;x;
EVTOPTAffnotific.46;I'm blessed with this mysterious knowledge.;Je suis béni de cette connaissance mystérieuse.;;;;;;;;;;;;x;
EVTDESCffnotific.47;Sometimes it seems I have \nbeen neglected and forgotten by God.;Parfois, il semble que j'ai négligé et oublié par Dieu.;;;;;;;;;;;;x;
EVTOPTAffnotific.47;Poor me. I am so sad.;Pauvre de moi. Je suis si triste.;;;;;;;;;;;;x;
EVTDESCffnotific.48;Leave me be.\nAll of you, just leave!\n\nHow often do I have to remind you?;Laissez-moi. \nChacun d'entre vous, laissez moi simplement! \n Combien de fois dois-je vous le rappeler ?;;;;;;;;;;;;x;
EVTOPTAffnotific.48;I can't stand the sight of children or dogs.;Je ne peux pas supporter la vue des enfants ou des chiens.;;;;;;;;;;;;x;
EVTDESCffnotific.49;Before anything else... let's tread carefully here.;Avant toute chose ... nous allons faire preuve de prudence ici.;;;;;;;;;;;;x;
EVTOPTAffnotific.49;Being cautious never hurts.;Être prudent n'a jamais fait mal.;;;;;;;;;;;;x;
EVTDESCffnotific.50;There is only one way to save yourself \nfrom eternal damnation.;Il n'ya qu'une seule façon de vous sauver de la damnation éternelle.;;;;;;;;;;;;x;
EVTOPTAffnotific.50;There's only one true saviour.;Il n'y a qu'un seul vrai sauveur.;;;;;;;;;;;;x;
EVTDESCffnotific.51;I have the honour to address your excellency, my honourable lord, my dear father, with greetings and all manner of reverences, whereby here I ask:\nMay I use the privy?;J'ai l'honneur de m'adresser à Votre Excellence, mon seigneur honorable, mon cher père, avec des salutations et toutes sortes de révérences, par lesquel je vous demande ici: \n Puis je utiliser les toilettes ?;;;;;;;;;;;;x;
EVTOPTAffnotific.51;Now. Please?;Maintenant. S'il vous plaît?;;;;;;;;;;;;x;
EVTDESCffnotific.52;I do not pray for a lighter burden, \nbut for a stronger back!;Je ne prie pas pour alléger les charges, mais pour un plus grand retour !;;;;;;;;;;;;x;
EVTOPTAffnotific.52;I enjoy the sweat of hard-work.;J'aime la sueur du travail acharné.;;;;;;;;;;;;x;
EVTDESCffnotific.53;My lord, your son died in battle.\nHe didn't suffer. A lot.\nJust a gash in the throat.\nYour other son, the bastard, is well. \nLost a leg, he did. But he can hobble about.;Mon Seigneur, votre fils est mort au combat. Il n'a pas souffert.. un grand nombre... une entaille à la gorge... votre autre fils, le bâtard, va bien. Il a perdu une jambe mais il peut encore boiter.;;;;;;;;;;;;x;
EVTOPTAffnotific.53;Apart from that, he's fine.;En dehors de cela, tout va bien.;;;;;;;;;;;;x;
EVTDESCffnotific.54;If it is a sin to covet honours, \nI am the most offending soul alive.;Si c'est un péché de convoiter les honneurs, \nJe suis l'âme la plus fautive au monde.;;;;;;;;;;;;x;
EVTOPTAffnotific.54;Better than receiving honors is deserving them.;Toujours plus haut.;;;;;;;;;;;;x;
EVTDESCffnotific.55;A natural leader does not \nsay the words.\nHe acts.;Un grand chef ne parle pas. Il agit.;;;;;;;;;;;;x;
EVTOPTAffnotific.55;And the others follow.;Et les autres suivent.;;;;;;;;;;;;x;
EVTDESCffnotific.56;So, if I give you a hundred coins, you'll leave to Damascus, where your rich cousin was taken prisoner, and there you'll bribe the guards, rescue your cousin, bring him back... \n...and have him then repay us with gold and rubies?;Donc, si je vous donne une centaine de pièces, vous partirez à Damas, où votre cousin riche fut fait prisonnier, et vous soudoyerez les gardes, sauverez votre cousin, le ramenerez ... \n ... et lui demandere alors de nous rembourser avec de l'or et de rubis ?;;;;;;;;;;;;x;
EVTOPTAffnotific.56;Oh, I love this plan! I only have this much, but can borrow some more...;Oh, j'adore ce plan ! Tenez, je n'ai que cette somme pour l'instant, mais je peux emprunter plus ...;;;;;;;;;;;;x;
EVTDESCffnotific.57;How many nobles will envy those \nwho shed their blood with me today.\nRemember, we are all brothers now!;Combien de nobles envieront ceux qui ont versé leur sang avec moi aujourd'hui. \n Rappelez-vous, nous sommes tous frères maintenant !;;;;;;;;;;;;x;
EVTOPTAffnotific.57;I'll lead the way!!;Je vais montrer le chemin!;;;;;;;;;;;;x;
EVTDESCffnotific.58;My goal is to live the life of a modest person, \nenlightened only by faith.;Mon but est de vivre la vie d'une personne modeste, éclairée par la foi.;;;;;;;;;;;;x;
EVTOPTAffnotific.58;Less is more.;Moins c'est mieux.;;;;;;;;;;;;x;
EVTDESCffnotific.59;I cannot drag my thoughts \naway from my troubles...;Je ne peux pas faire glisser mes pensées loin de mes ennuis ...;;;;;;;;;;;;x;
EVTOPTAffnotific.59;I know, I worry too much!;Je sais, je m'inquiéte trop !;;;;;;;;;;;;x;
EVTDESCffnotific.60;You're all pathetic. And useless.\nEach one of you. No exceptions!;Vous êtes tous pathétique. Et inutile. Chacun d'entre vous. Pas d'exception!;;;;;;;;;;;;x;
EVTOPTAffnotific.60;You dimwits!;Idiots!;;;;;;;;;;;;x;
EVTDESCffnotific.61;So... \n...this is supposed to be a secret meeting, I see.;Alors ... \n ... voila ce qui est censé être une réunion secrète, je vois.;;;;;;;;;;;;x;
EVTOPTAffnotific.61;Of course, my Lord. You have my word.;Bien sûr, mon Seigneur. Vous avez ma parole.;;;;;;;;;;;;x;
EVTDESCffnotific.62;This will not do!\nThe horse's mane is whitish-grey and I said white.\nWhite!!\nGo fetch another one.;Ce ne sera pas! La crinière du cheval est gris blanchâtre et j'avai dit blanc. \n Blanc! \n Va en chercher un autre.;;;;;;;;;;;;x;
EVTOPTAffnotific.62;And be quick about it, you imbecile! Or I'll have you hanged.;Et plus vite que ça, imbécile ! Ou je vais te faire pendre.;;;;;;;;;;;;x;
EVTDESCffnotific.63;No, no and no. This is absolutely not for sale.\nNot for a hundred of those coins.\nMaybe ninety.\nEighty-five? Eighty gold coins.;Non, non et non. Ce n'est absolument pas à vendre. Pas pour une centaine de ces pièces. Peut-être 90. Quatre-vingt-cinq ? Disons quatre-vingts pièces d'or.;;;;;;;;;;;;x;
EVTOPTAffnotific.63;You're murdering me here! Seventy-five and that's my final offer!;Vous me tuer maintenant ! Soixante-cinq ans et c'est ma dernière offre!;;;;;;;;;;;;x;
EVTDESCffnotific.64;Oh, this is a disgrace!\nDo you call youself a blacksmith?\nLook at this shape! See?\nNo? Come closer. Look at the tip of my finger. See??;Oh, c'est une honte! Ne vous appelez vous pas forgeron? Regardez cette forme! Voyez-vous? Non? Approchez-vous. Regardez le bout de mon doigt. Vous voyez ?;;;;;;;;;;;;x;
EVTOPTAffnotific.64;Below my nail...;En dessous de mon ongle ...;;;;;;;;;;;;x;
EVTDESCffnotific.65;I study my opponents' moves as if it was a game of chess.\n\nEverything happens for a reason.;J'étudie les mouvements de ùes adversaires comme s'il s'agissait d'un jeu d'échecs. Tout arrive pour une raison....;;;;;;;;;;;;x;
EVTOPTAffnotific.65;So we must find the reason!;Donc, il faut trouver la raison!;;;;;;;;;;;;x;
EVTDESCffnotific.66;I would really appreciate the opportunity to speak with you.\nPlease let me know when you are ready.;Je voudrais vraiment avoir l'occasion de parler avec vous. \nVeuillez me faire savoir quand vous êtes prêt.;;;;;;;;;;;;x;
EVTOPTAffnotific.66;Good manners will open doors that the best education cannot.;Les bonnes manières vous ouvrira les portes que les grands titres vous refusent parfois.;;;;;;;;;;;;x;
EVTDESCffnotific.67;Children seldom misquote me.\nIn fact, they usually repeat word for word\nwhat I shouldn't have said!;Les enfants rarement me cite de travers. En fait, ils sont généralement là à répéter mot pour mot ce que je n'aurais pas dû dire!;;;;;;;;;;;;x;
EVTOPTAffnotific.67;You find me amusing, huh?;Vous me trouvez amusant, hein?;;;;;;;;;;;;x;
EVTDESCffnotific.68;This will be the grandest event ever!;Ce sera le plus grandiose événement jamais vu !;;;;;;;;;;;;x;
EVTOPTAffnotific.68;I wouldn't want to disappoint my subjects.;Je ne voudrais pas décevoir mes sujets.;;;;;;;;;;;;x;
EVTDESCffnotific.69;Did I say you could trust me?\n\nOh, sorry then.\nMy mistake.;Ai-je dit que tu pouvais me faire confiance? Oh, désolé alors. C'est ma faute.;;;;;;;;;;;;x;
EVTOPTAffnotific.69;It's so hard to commit to one side...;Il est si difficile de s'engager...;;;;;;;;;;;;x;
EVTDESCffnotific.70;I will do exactly as my conscience \ncommands me to!;Je vais faire exactement ce que ma conscience me commande de faire !;;;;;;;;;;;;x;
EVTOPTAffnotific.70;So... what should my conscience command?;Alors ... Quelle devrait être mes commandes, conscience ?;;;;;;;;;;;;x;
EVTDESCffnotific.71;The best thing to do is listen \nand comply. Be polite.\n\nAll good things come to those who wait.;La meilleure chose à faire est d'écouter et de respecter. Soyez poli. Toutes les bonnes choses arrivent à ceux qui savent attendre.;;;;;;;;;;;;x;
EVTOPTAffnotific.71;Sorry, my Lord... Just an old habit of talking to myself.;Désolé, mon Seigneur ... Juste une vieille habitude de me parler moi-même.;;;;;;;;;;;;x;
EVTDESCffnotific.72;I may not be a lion...\n...but I am surely not a deer.;Je ne peux pas être un lion ... mais je ne suis sûrement pas un cerf.;;;;;;;;;;;;x;
EVTOPTAffnotific.72;Maybe a fox. Would you agree?;Peut-être un renard. Cela vous irez ?;;;;;;;;;;;;x;
EVTDESCffnotific.73;A cupid's arrow caught me,\nI cannot deny its spell.;Une flèche de Cupidon m'a pris, je ne peux pas nier son sortilège.;;;;;;;;;;;;x;
EVTOPTAffnotific.73;All I need is love...;Tout je besoin est amour (Papapapalala);;;;;;;;;;;;x;
EVTDESCffnotific.74;...and this huge beast just stared at me and my companions, without moving its head or trunk. The Greeks call this beast an 'elephant'.\nIt really was quite an adventure.;... et cette énorme bête juste regardé fixement moi et mes compagnons, sans bouger la tête ou le tronc. Les Grecs appellent cette bête un «éléphant». C'était vraiment une belle aventure.;;;;;;;;;;;;x;
EVTOPTAffnotific.74;If you'll forgive me, I must be introduced to the other guests now!;Si vous me pardonnerez, je dois être introduits avec les autres clients maintenant !;;;;;;;;;;;;x;
EVTDESCffnotific.75;Oh, I love those lips, \nand the way you move your tongue.\n\nCome closer, let me touch them.;Oh, j'adore ces lèvres, et la manière dont vous déplacez votre langue. Approchez-vous, permettez-moi de les toucher.;;;;;;;;;;;;x;
EVTOPTAffnotific.75;...and they taste so sweet too.;... et elles ont un goût si doux aussi.;;;;;;;;;;;;x;
EVTDESCffnotific.76;Let us not judge others but \npardon their folly if we do not agree with them.;Ne jugeons pas les autres, mais pardonnez-leur folie si nous se sommes pas d'accord avec eux.;;;;;;;;;;;;x;
EVTOPTAffnotific.76;Tolerance is the only remedy to religious discord.;La tolérance est le seul remède à la discorde religieuse.;;;;;;;;;;;;x;
EVTDESCffnotific.77;Can I really trust you?;Puis-je vraiment vous faire confiance?;;;;;;;;;;;;x;
EVTOPTAffnotific.77;I'd rather be suspicious for a lifetime than a fool once.;Je préfère être suspicieux une vie entière que fou une seule fois.;;;;;;;;;;;;x;
EVTDESCffnotific.78;Some people call me pessimistic.\n The advantage in having \nsuch low expectations is that \nI'm never disappointed.;Certaines personnes me disent pessimiste. L'avantage d'avoir de telles attentes faibles, c'est que je ne suis jamais déçu.;;;;;;;;;;;;x;
EVTOPTAffnotific.78;The glass is half-empty.;Le verre est à moitié vide.;;;;;;;;;;;;x;
EVTDESCffnotific.79;I judge others, yes - but \njust as harshly as I judge myself.;Juger les autres, oui - mais tout aussi durement que je me juge.;;;;;;;;;;;;x;
EVTOPTAffnotific.79;I'm hard to please. What can I say?;Je suis difficile à satisfaire. Que puis-je dire?;;;;;;;;;;;;x;
EVTDESCffnotific.80;Why do you yield? You want mercy?!\nI'll bash your skull with my mercy!;Que pensez-vous obtenir? Vous voulez ma pitié ? Je vais vous frapper le crâne avec ma miséricorde!;;;;;;;;;;;;x;
EVTOPTAffnotific.80;Fight like a man or die like a cockroach.;Se battre comme un homme ou mourir comme un cafard.;;;;;;;;;;;;x;
EVTDESCffnotific.81;Mirror, mirror on the wall,\nwho's the fairest one of all?;Miroir, miroir sur le mur, qui est le plus juste de tous?;;;;;;;;;;;;x;
EVTOPTAffnotific.81;Why, it's me, of course!;C'est moi bien sûr !;;;;;;;;;;;;x;
EVTDESCffnotific.82;First we perceive.\n\nThen, we abstract.;D'abord que nous percevons. \n ensuite, nous faisons abstraction.;;;;;;;;;;;;x;
EVTOPTAffnotific.82;It's fascinating to investigate life with the powers of the mind.;Il est fascinant d'étudier la vie avec les pouvoirs de l'esprit.;;;;;;;;;;;;x;
EVTDESCffnotific.83;Miracles only happen \nto those who believe in them.\nSo, yes, I am an optimistic.;Les miracles ne se produisent qu'à ceux qui croient en eux. Donc, oui, je suis un optimiste.;ADDED BY ASH;;;;;;;;;;;;x
EVTOPTAffnotific.83;The glass is half-full.;Le verre est à moitié plein.;;;;;;;;;;;;x;
EVTDESCffnotific.84;I hate wasting time\non little things and details.;Je déteste perdre du temps sur des petites choses et les détails.;;;;;;;;;;;;x;
EVTOPTAffnotific.84;And there's so much to see and do.;Et il ya tellement de choses à voir et à faire.;;;;;;;;;;;;x;
EVTDESCffnotific.85;Of course you're not fat!\n\nJust a little flabby,\nthat's all.;Bien sûr vous n'êtes pas gros ! Vous avez juste une ossature lourde, c'est tout.;;;;;;;;;;;;x;
EVTOPTAffnotific.85;...and maybe those saggy tits don't help either.;... bien sûr vos seins n'aident pas.;;;;;;;;;;;;x;
EVTDESCffnotific.86;Life is a gamble at terrible odds.\nSo I say,\nsince we're here,\nthere's nothing much to lose.;La vie est un pari terribles. Alors je dis, puisque nous sommes ici, il n'y a pas grand-chose à perdre.;;;;;;;;;;;;x;
EVTOPTAffnotific.86;Only those who risk going too far can find out how far they can go.;Seuls ceux qui se risquent à aller trop loin peuvent savoir où se situe la frontière.;;;;;;;;;;;;x;
EVTDESCffnotific.87;Children always \nknow when I'm home.;Les enfants savent toujours quand je suis à la maison.;;;;;;;;;;;;x;
EVTOPTAffnotific.87;I suppose they hear the servants laughing at my jokes!;Je suppose qu'ils entendent les domestiques rire de mes blagues!;;;;;;;;;;;;x;
EVTDESCffnotific.88;Who are you to \ngive me orders?;Qui êtes-vous pour me donner des ordes ?;;;;;;;;;;;;x;
EVTOPTAffnotific.88;To restrain free will is to strike the conscience with death.;La meilleure manière de limiter le libre arbitre, c'est de frapper la conscience avec la peur de lamort.;;;;;;;;;;;;x;
EVTDESCffnotific.89;Sorry, \nI didn't mean to pry...;Désolé, \n Je... je ne voulais pas fouiller ...;;;;;;;;;;;;x;
EVTOPTAffnotific.89;Oh, er, I w-was behind the door completely by accident!;Oh, euh, je j'était derrière la porte complètement par hasard!;;;;;;;;;;;;x;
EVTDESCffnotific.90;Self-control. \nBefore commanding, people should learn to obey.\nAnd the first lesson is self-control.;La maîtrise de soi. \nAvant de commander, les gens doivent apprendre à obéir. \nTelle est la première leçon de la maîtrise de soi.;;;;;;;;;;;;x;
EVTOPTAffnotific.90;It takes discipline to have discipline.;Il faut de la discipline pour avoir de la discipline.;;;;;;;;;;;;x;
EVTDESCffnotific.91;My Lords, \nI'll withhold my opinion \nfor the time being.;Mes Seigneurs, je vais retenir mon avis, pour le moment.;;;;;;;;;;;;x;
EVTOPTAffnotific.91;I listen to many, but only speak to a few.;J'écoute beaucoup, mais je ne parle qu'à quelques-uns.;;;;;;;;;;;;x;
EVTDESCffnotific.92;True, \nI'm incapable of compromise.;Il est vrai que je suis incapable de faire des compromis.;;;;;;;;;;;;x;
EVTOPTAffnotific.92;Is that a weakness? So be it.;Est-ce une faiblesse? Ainsi soit-il.;;;;;;;;;;;;x;
EVTDESCffnotific.93;I wish I loved the human race, \nI wish I loved its silly face, \nand its crooked and obnoxious ways...\n\n...but I don't.;Je voudrais aimé la race humaine, \n aimer son visage idiot et ses chemins tortueux et odieux... \n \n ... mais je ne sais pas.;;;;;;;;;;;;x;
EVTOPTAffnotific.93;Why mask the truth? People are annoying and useless.;Pourquoi masquer la vérité? Les gens sont ennuyeux et inutiles.;;;;;;;;;;;;x;
EVTDESCffnotific.94;If you are right, \nthere is no need to be enraged...\n...and if you are wrong, \nthere's no sense in feeling provoked.;Si vous avez raison,  vous n'avez pas besoin d'être furieux ...\n ... et si vous avez tort, cela n'a aucun sens de se sentir provoqué.;;;;;;;;;;;;x;
EVTOPTAffnotific.94;It's the nature of a great mind to be calm and undisturbed.;C'est le propre d'un grand esprit d'être calme et paisible.;;;;;;;;;;;;x;
EVTDESCffnotific.95;To give orders is simple. \nTo be followed \nis another matter.;Donner des ordres est simples \nLes suivre est une autre affaire.;;;;;;;;;;;;x;
EVTOPTAffnotific.95;Those who command must inspire unquestionable obedience.;Ceux qui commandent doivent inspirer une obéissance indiscutable.;;;;;;;;;;;;x;
EVTDESCffnotific.96;No need for big fancy words.\n\nYes, I am as ordinary and simple as \nthose who live off this land:;Pas besoin de grands mots \n\nOui, je suis aussi ordinaire et simple que ceux qui vivent en dehors de cette terre.:;;;;;;;;;;;;x;
EVTOPTAffnotific.96;The common folk.;Les gens du peuple.;;;;;;;;;;;;x;
EVTDESCffnotific.97;It wasn't raining \nwhen Noah built the ark.;Il ne pleuvait pas lorsque Noé construisit l'arche.;;;;;;;;;;;;x;
EVTOPTAffnotific.97;In other words, it pays to plan ahead.;En d'autres termes, il est utile de planifier à l'avance.;;;;;;;;;;;;x;
EVTDESCffescape.1;I've overheard the dungeon guard talking about a huge debt he accumulated by playing cards at the inn. He claims that his low salary will never be able to pay it back in time...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.1;Life's a hard matter. And I don't trust the guard.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffescape.1;How much was it? My ring is worth 100 gold coins...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTCffescape.1;Well... I know some people with a purse full of coins.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPAffescape.1;Better wait and strike when the time is right.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPBffescape.1;I will bribe the guard. Even though there are risks involved, this should be the best way to escape...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPCffescape.1;I will talk to the guard. With my skills, I should be able to persuade him.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.2;During nighttime, the guard left the door unlocked.\nI fearfully dashed for freedom. In complete darkness, I bumped into walls and suffered a few scrapes and scares until an exit was found. \nOutside, a saddled horse was waiting for me.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.2;Freedom!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.3;The guard accepted my empty promises. Strangely, he didn't require too much convincing. He could be easily fooled, this one. Oh, and he also mentioned there's another guard on duty...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.3;Looks shaky but... Let's do it!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
