#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTOPTA_SOA_3015;I will keep a close eye on the child, [FromFrom.GetFirstName].;Je surveillerai de près mon enfant [FromFrom.GetFirstName].;Ich werde das Kind, [FromFrom.GetFirstName], beobachten.;;Vigilaré de cerca al pequeño [FromFrom.GetFirstName].;;;;;;;;;x
EVTDESC_SOA_3020;My true Father spoke to me in a dream, revealing His plans for me. The world shall bow to my strength and the people will accept the truth of [Root.Religion.GetRandomEvilGodName] into their hearts... or DIE!;Mon vrai Père m'a parlé en songe et m'a révélé Ses projets pour moi. Les gens se plieront à ma volonté et accepteront la vérité de [Root.Religion.GetRandomEvilGodName] dans leur cœur... ou MOURRONT !;Mein wahrer Vater hat im Traum zu mir gesprochen und mir offenbart, welche Pläne er mit mir hat. Vor meiner Stärke soll die ganze Welt das Haupt neigen und alle Menschen werden erkennen, dass [Root.Religion.GetRandomEvilGodName] die Wahrheit spricht und seine Lehren bereitwillig annehmen... oder STERBEN!;;Mi verdadero Padre me ha hablado en sueños y me ha revelado los planes que tiene para mí. El mundo se inclinará ante mi fuerza y la gente aceptará la verdad de [Root.Religion.GetRandomEvilGodName] en sus corazones... ¡o MORIRÁ!;;;;;;;;;x
EVTOPTA_SOA_3020;The POWER!;Toute cette puissance !;Die MACHT!;;¡El PODER!;;;;;;;;;x
EVTTITLE_SOA_3021;Spawn of [Root.Religion.GetRandomEvilGodName]?;Suppôt de [Root.Religion.GetRandomEvilGodName] ?;Nachkomme von [Root.Religion.GetRandomEvilGodName]?;;¿Semilla de [Root.Religion.GetRandomEvilGodName]?;;;;;;;;;x
EVTDESC_SOA_3021;My [GetFromRelation] [From.GetFirstName] has always been a strange one, worrying friends and relatives - as well as members of the clergy - with [From.GetPossPronoun] acts of wanton cruelty, not to mention the creepy buzzing noises [From.GetSubjectPronoun] makes, the birds falling dead from the sky and all the little accidents happening around [From.GetObjectPronoun]. Despite all the best efforts at education and firm tutoring, our hopes have been dashed. A child no more, [From.GetSubjectPronoun] has turned into a truly frightening young [From.GetManWoman]...;Mon/ma [GetFromRelation] [From.GetFirstName] a toujours été un enfant étrange qui inquiétait mes amis et ma famille, ainsi que les membres du clergé, par ses actes de cruauté gratuite. Sans parler des bourdonnements étranges qu'[From.GetSubjectPronoun] émet, des oiseaux qui tombent morts à ses pieds et des petits accidents qui se produisent sur son passage. Malgré tous nos efforts pour lui fournir une éducation stricte, nos espoirs ont été déçus. Maintenant que [From.GetFirstName] n'est plus un enfant, c'est devenu un être vraiment terrifiant.;Mein(e) [GetFromRelation] [From.GetFirstName] war schon immer etwas eigen, was vielen Freunden, Verwandten und auch den Geistlichen Anlass zur Sorge bot. [From.GetPossPronoun] Anwandlungen von Grausamkeit oder die Geräusche, die [From.GetSubjectPronoun] machte, oder die Vögel, die tot vom Himmel fielen und all die kleinen Unfälle, die um [From.GetObjectPronoun] herum geschahen. Trotz aller erzieherischen Bemühungen haben sich unsere Hoffnungen letztlich zerschlagen. Nun ist [From.GetSubjectPronoun] kein Kind mehr, sondern ein(e) [From.GetManWoman]... eine erwachsene Kreatur, die man fürchten muss...;;Mi [GetFromRelation] [From.GetFirstName] siempre ha sido un poco raro, lo que preocupa a amigos y familiares, así como al clero, dados [From.GetPossPronoun] actos de crueldad gratuita, por no mencionar los escalofriantes zumbidos que [From.GetSubjectPronoun] emite, los pájaros que caen del cielo muertos y los pequeños accidentes que suceden alrededor de [From.GetObjectPronoun]. A pesar del gran esfuerzo realizado en instruirlo y educarlo con firmeza, hemos perdido la esperanza. [From.GetSubjectPronoun] ha dejado de ser niño para convertirse en un joven [From.GetManWoman] realmente aterrador...;;;;;;;;;x
EVTOPTA_SOA_3021;[Root.Religion.GetRandomEvilGodName]!;Un démon !;Dämon!;;¡[Root.Religion.GetRandomEvilGodName]io!;;;;;;;;;x
suspected_demon_spawn;Suspected [Root.Religion.GetRandomEvilGodName] Spawn;Possible engeance du démon;Mutmaßliches Dämonengezücht;;Posible semilla demoníaca;;;;;;;;;x
EVTDESC_SOA_3032;My sweet [GetFromRelation] [From.GetFirstName] looks so peaceful there in [From.GetPossPronoun] bed... Now [From.GetSubjectPronoun] must rest forever.;Mon/ma [GetFromRelation] [From.GetFirstName] paraît si paisible dans son lit... À présent, [From.GetSubjectPronoun] va se reposer pour l'éternité.;Meine süße [GetFromRelation] [From.GetFirstName] wirkt so friedlich in [From.GetPossPronoun] Bett... Doch nun muss [From.GetSubjectPronoun] die ewige Ruhe finden.;;Mi dulce [GetFromRelation] [From.GetFirstName] parece tan tranquilo en [From.GetPossPronoun] cama... Ahora [From.GetSubjectPronoun] descansará para siempre.;;;;;;;;;x
EVTOPTA_SOA_3032;Ave [Root.Religion.GetRandomEvilGodName]!;Ave Satana !;Ave Satana!;;¡Ave Satanás!;;;;;;;;;x
EVTTOOLTIP_SOA_3035;Stab the long needle up the side of [This.GetPossPronoun] eye.;Enfoncer la longue aiguille dans son œil.;Stoßt die lange Nadel durch die Seite [This.GetPossPronoun] Auges.;;Clavad la larga aguja en [This.GetPossPronoun] ojo.;;;;;;;;;x
EVTDESC_SOA_3035;Aaack! I wake to an excruciating PAIN in my eye! The [Root.Religion.GetRandomEvilGodNameCap] child, [From.GetFirstName], is sitting on my chest, poking me in the ... blszzpt...;ARRGH ! Je me réveille avec une douleur insoutenable à l'œil ! J'entrevois [From.GetFirstName] et son sourire démoniaque, à cheval sur ma poitrine, qui m'enfonce une aiguille dans......;Ah! Ich erwache mit einem unerträglichen SCHMERZ in meinem Auge! Dieses teuflische Kind, [From.GetFirstName], sitzt auf meiner Brust und sticht mich in die... blszzpt...;;¡Aaaah! ¡Me despierto con un DOLOR insoportable en el ojo! El hijo del [Root.Religion.GetRandomEvilGodName]io, [From.GetFirstName], está sentado en mi pecho, clavándome en el... blszzpt...;;;;;;;;;x
EVTOPTA_SOA_3035;[Root.Religion.GetRandomEvilGodNameCap] shall not have my soul!;[Root.Religion.GetRandomEvilGodNameCap] n'aura jamais mon âme !;Niemals wird [Root.Religion.GetRandomEvilGodNameCap] meine Seele besitzen!;;¡[Root.Religion.GetRandomEvilGodNameCap] no tendrá mi alma!;;;;;;;;;x
EVTDESC_SOA_3036;I wake up with a start. There is a pressure on my chest! As I scream for help, a small shape scampers off, hissing loudly, hurling a long needle at me!;Je me réveille en sursaut. Je ressens une pression sur ma poitrine. Je hurle à l'aide et une petite silhouette s'enfuit, émet un sifflement bruyant et lance une longue aiguille dans ma direction !;Ich erwache voller Schrecken. Auf meiner Brust spüre ich einen schmerzhaften Druck. Ich rufe um Hilfe, doch da huscht eine schemenhafte Gestalt zur Seite, zischend, mit einer langen Nadel bewaffnet, die auf mich gerichtet ist!;;Me despierto sobresaltado. ¡Siento una presión en el pecho! ¡Al pedir auxilio, una pequeña silueta se escabulle, silbando con fuerza y lanzándome una larga aguja!;;;;;;;;;x
EVTOPTA_SOA_3036;The [Root.Religion.GetRandomEvilGodName] spawn, [From.GetFirstName], I know it!;C'est [From.GetFirstName], l'enfant du démon, je le savais !;Diese Dämonenbrut, [From.GetFirstName], ich habe es gleich gewusst!;;¡La semilla del [Root.Religion.GetRandomEvilGodName]io, [From.GetFirstName], lo sabía!;;;;;;;;;x
EVTDESC_SOA_3037;Aaack! I wake to an excruciating PAIN in my eye! As I scream for help, a small shape scampers off, hissing loudly, hurling a long needle at me!;ARRGH ! Je me réveille avec une douleur insoutenable à l'œil ! Je hurle à l'aide et une petite silhouette s'enfuit, émet un sifflement bruyant et lance une longue aiguille dans ma direction !;Ah! Ich erwache mit einem unerträglichen SCHMERZ in meinem Auge! Ich rufe um Hilfe, doch da huscht eine schemenhafte Gestalt zur Seite, zischend, mit einer langen Nadel bewaffnet, die auf mich gerichtet ist!;;¡Aaaah! ¡Me despierto con un DOLOR insoportable en el ojo! ¡Al pedir auxilio, una pequeña silueta se escabulle, silbando con fuerza y lanzándome una larga aguja!;;;;;;;;;x
EVTOPTA_SOA_3037;My eye! I... why can't I think straight?;Mon œil ! Je... Mais que m'arrive-t-il ?;Mein Auge! Ich... was ist mit mir...? So neblig, die Welt...;;¡El ojo! Yo... ¿Por qué no puedo pensar con claridad?;;;;;;;;;x
EVTTITLE_SOA_3039;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3039;My beloved [GetFromRelation] [From.GetFirstName] is dead! [From.GetSubjectPronounCap] was found lifeless in [From.GetPossPronoun] bed, face frozen in a terrible grimace, with a trickle of blood running down [From.GetPossPronoun] cheek. The physicians can find nothing wrong with the body. It's as if [From.GetSubjectPronoun] had died of fright from a terrible nightmare. There are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again... As always when something terrible happens, [FromFrom.GetSubjectPronoun] does seem inordinately happy.;Mon/ma [GetFromRelation] [From.GetFirstName] que j'aime tant vient de mourir ! On l'a trouvé sans vie dans son lit, le visage figé en une terrible grimace, un filet de sang coulant le long de sa joue. Les médecins ne trouvent pas la cause de la mort. On dirait qu'[From.GetSubjectPronoun] est mort(e) de peur en faisant un terrible cauchemar. Et les rumeurs vont bon train au sujet de la nature démoniaque de [FromFrom.GetFirstName]... Comme toujours, quand un évènement horrible survient, [FromFrom.GetSubjectPronoun] semble se réjouir.;Mein(e) liebe(r) [GetFromRelation] [From.GetFirstName] ist tot! [From.GetSubjectPronounCap] wurde leblos in [From.GetPossPronoun] Bett gefunden, das Gesicht zu einer schrecklichen Fratze gefroren, mit einem dünnen Rinnsal Blut, das von [From.GetPossPronoun] Wange herabtropfte. Ein körperliches Problem konnten die Ärzte nicht feststellen. Es ist, als wenn [From.GetSubjectPronoun] vor Schreck gestorben wäre. Die dunklen Gerüchte über das angebliche Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], erhalten neue Nahrung... Wie immer, wenn etwas Unnatürliches passiert, scheint [FromFrom.GetSubjectPronoun] ausgesprochen glücklich zu sein.;;¡Mi amado [GetFromRelation] [From.GetFirstName] ha muerto! [From.GetSubjectPronounCap] ha sido hallado sin vida en [From.GetPossPronoun] cama. En su rostro había una expresión terrible y un hilo de sangre recorría [From.GetPossPronoun] mejilla. Los médicos no han hallado nada malo en su cuerpo. Es como si hubiera muerto de miedo por una terrible pesadilla. De nuevo, rumores oscuros hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]... Como siempre que sucede algo terrible, [FromFrom.GetSubjectPronoun] parece excesivamente feliz.;;;;;;;;;x
EVTOPTA_SOA_3039;Could it really be murder?;Serait-ce un meurtre ?;Könnte es wirklich Mord gewesen sein?;;¿Es posible que haya sido asesinado?;;;;;;;;;x
EVTTITLE_SOA_3040;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3040;My beloved [GetFromRelation] [From.GetFirstName] claims that some... thing tried to kill [From.GetObjectPronoun] last night. [From.GetSubjectPronounCap] woke up with a small shape pressing down on [From.GetPossPronoun] chest. It ran off hissing, but left a nasty long needle behind. I think it was just a nightmare - the maids leave needles lying around everywhere. However, there are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again...;Mon/ma [GetFromRelation] [From.GetFirstName] soutient que... quelque chose a cherché à l'occire la nuit dernière. [From.GetSubjectPronounCap] a ouvert les yeux et a vu une petite forme qui appuyait sur sa poitrine. La forme est ensuite partie en sifflant, laissant derrière elle une longue aiguille acérée. Je pense que ce n'était qu'un cauchemar, les bonnes laissent traîner des aiguilles partout. Mais le bruit court au sujet d'un soi-disant ''enfant démon'', mon/ma [GetFromFromRelation] [FromFrom.GetFirstName], encore cet enfant...;Mein(e) [GetFromRelation] [From.GetFirstName] behauptet, dass letzte Nacht irgend...etwas versuchte, [From.GetObjectPronoun] zu töten. [From.GetSubjectPronounCap] erwachte mit dem Gefühl eines unangenehmen Drucks auf [From.GetPossPronoun]er Brust. Zischend rannte daraufhin ein schemenhaftes Wesen davon, ließ jedoch eine lange Nadel zurück. Sicher war es nur ein Albtraum. Die Zofen lassen schließlich überall Nadeln herumliegen. Dennoch, die dunklen Gerüchte über das angebliche Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], erhalten neue Nahrung...;;Mi amado [GetFromRelation] [From.GetFirstName] afirma que alguien... o algo trató de acabar con [From.GetObjectPronoun] vida anoche. [From.GetSubjectPronounCap] despertó con una pequeña figura presionando [From.GetPossPronoun] pecho. Salió corriendo mientras silbaba, pero olvidó una aguja larga y peligrosa. Creo que sólo fue una pesadilla. Las doncellas dejan agujas por todas partes. Sin embargo, de nuevo hay rumores oscuros que hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]...;;;;;;;;;x
EVTOPTA_SOA_3040;I am surrounded by nonsense;Tout ceci n'a aucun sens;Ich bin umgeben von Hirngespinsten;;Es absurdo.;;;;;;;;;x
EVTTITLE_SOA_3041;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTDESC_SOA_3041;My dear [GetFromRelation] [From.GetFirstName] must have suffered a stroke in [From.GetPossPronoun] sleep last night. [From.GetSubjectPronounCap] was found drooling in bed, one eye bloodshot, mumbling about a small monster that stabbed [From.GetObjectPronoun] in the eye before it ran off. There are dark rumours about the so called '[Root.Religion.GetRandomEvilGodName] child', my [GetFromFromRelation] [FromFrom.GetFirstName], again... As always when something terrible happens, [FromFrom.GetSubjectPronoun] does seem inordinately happy.;Mon/ma [GetFromRelation] [From.GetFirstName] a certainement eu une attaque dans son sommeil la nuit dernière. [From.GetSubjectPronounCap] bavait sur son lit, un œil injecté de sang, et balbutiait qu'un petit monstre avait réussi à piquer son œil avant de prendre la fuite. Le bruit court au sujet d'un soi-disant ''enfant démon'', mon/ma [GetFromFromRelation] [FromFrom.GetFirstName], encore cet enfant... Comme toujours, dès que quelque chose d'horrible se produit, [FromFrom.GetSubjectPronoun] semble en tirer un grand plaisir.;Mein(e) [GetFromRelation] [From.GetFirstName] muss in [From.GetPossPronoun] Bett der Schlag getroffen haben. Heute Morgen murmelte [From.GetSubjectPronounCap], ein Auge blutunterlaufen, etwas von einem kleinen Monster, das [From.GetObjectPronoun] ins Auge gestochen habe, bevor es davonlief. Die Gerüchte über das sogenannte Dämonenkind, mein(e) [GetFromFromRelation] [FromFrom.GetFirstName], flackern wieder auf... Wie immer, wenn etwas Unnatürliches passiert, scheint [FromFrom.GetSubjectPronoun] sehr glücklich zu sein.;;Mi querido [GetFromRelation] [From.GetFirstName] ha debido de sufrir un derrame cerebral mientras dormía. [From.GetSubjectPronounCap] fue hallado babeando en la cama, con un ojo inyectado en sangre, mascullando algo de un pequeño monstruo que [From.GetObjectPronoun] punzaba el ojo antes de escapar. De nuevo, rumores oscuros hablan del llamado niño [Root.Religion.GetRandomEvilGodName]io, mi [GetFromFromRelation] [FromFrom.GetFirstName]... Como siempre que sucede algo terrible, [FromFrom.GetSubjectPronoun] parece excesivamente feliz.;;;;;;;;;x
EVTOPTA_SOA_3041;I can't believe it...;Je ne puis y croire...;Ich kann es nicht glauben...;;No puedo creerlo...;;;;;;;;;x
EVTDESC_SOA_3050;By the grace of [Root.Religion.GetRandomEvilGodName], my limb has grown back!;Gloire à [Root.Religion.GetRandomEvilGodName], mon membre a repoussé !;[Root.Religion.GetRandomEvilGodName] war mir gnädig! Mein Körper ist wieder unversehrt!;;¡Por la gracia de [Root.Religion.GetRandomEvilGodName], me ha vuelto a salir el miembro!;;;;;;;;;x
EVTOPTA_SOA_3050;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName] !;Ave [Root.Religion.GetRandomEvilGodName]!;;¡Ave [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3051;My eyesight has been restored by the power of [Root.Religion.GetRandomEvilGodName]!;Les pouvoirs de [Root.Religion.GetRandomEvilGodName] m'ont redonné la vue !;[Root.Religion.GetRandomEvilGodName] segnete mich und hat mir das Augenlicht wiedergeschenkt!;;¡He recuperado la vista por el poder de [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTOPTA_SOA_3051;Sanguinem Bibimus!;Sanguinem Bibimus !;Sanguinem Bibimus!;;¡Sanguinem Bibimus!;;;;;;;;;x
EVTDESC_SOA_3052;The seed of [Root.Religion.GetRandomEvilGodName] will not be denied. My manhood is restored!;La semence de [Root.Religion.GetRandomEvilGodName] se propagera ! Ma vigueur m'a été rendue !;Gepriesen sei [Root.Religion.GetRandomEvilGodName]! Meine Männlichkeit ist wiederhergestellt!;;No se negará la semilla de [Root.Religion.GetRandomEvilGodName]. ¡He recuperado mi hombría!;;;;;;;;;x
EVTOPTA_SOA_3052;Elevate corpus [Root.Religion.GetRandomEvilGodName]!;Elevate corpus [Root.Religion.GetRandomEvilGodName]e !;Elevate corpus [Root.Religion.GetRandomEvilGodName]e!;;¡Elevate corpus [Root.Religion.GetRandomEvilGodName]e!;;;;;;;;;x
EVTDESC_SOA_3053;The dark animus of [Root.Religion.GetRandomEvilGodName] courses through my veins. My mind is clear once more!;L'esprit ténébreux de [Root.Religion.GetRandomEvilGodName] coule dans mes veines ! Mon esprit est à nouveau clair !;[Root.Religion.GetRandomEvilGodName], deine Kraft durchströmt meine Adern, aufs Neue klar mein Verstand!;;El alma oscura de [Root.Religion.GetRandomEvilGodName] corre por mis venas. ¡Ahora lo entiendo!;;;;;;;;;x
EVTOPTA_SOA_3053;Corpus edimus!;Corpus edimus !;Corpus edimus!;;¡Corpus edimus!;;;;;;;;;x
EVTDESC_SOA_3054;[Root.Religion.GetRandomEvilGodNameCap] gifted me with this disease to strengthen my resolve... Now, my will is like a sharpened blade and I wish this blight gone from my body!;[Root.Religion.GetRandomEvilGodNameCap] m'a infligé cette maladie pour me mettre à l'épreuve... Aujourd'hui, ma volonté est comme une lame acérée et j'exige que ce mal quitte mon corps !;[Root.Religion.GetRandomEvilGodNameCap] segnete mich mit dieser Krankheit, um meine Entschlossenheit zu stärken... Mein Wille wird das Messer sein, mit dem ich meinen Leib von seiner Fäulnis befreie!;;[Root.Religion.GetRandomEvilGodNameCap] me obsequió con esta enfermedad para reforzar mi propósito... ¡Ahora, mi voluntad es como una cuchilla afilada y quiero que esta maldición salga de mi cuerpo!;;;;;;;;;x
EVTOPTA_SOA_3054;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName]!;Ave [Root.Religion.GetRandomEvilGodName]!;;¡Ave [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3060;No bars can hold [Root.Religion.GetRandomEvilGodName]'s own! The senses of my gaolers were blinded long enough for me to escape.;Rien ne peut emprisonner ce qui appartient à [Root.Religion.GetRandomEvilGodName] ! Les sens de mes geôliers ont été perturbés, le temps pour moi de prendre la fuite.;Kein Gitter vermag einen Jünger von [Root.Religion.GetRandomEvilGodName] aufzuhalten! Von Blindheit geschlagen, erlaubten die Wärter mir zu entkommen.;;¡No hay cárcel capaz de retener a [Root.Religion.GetRandomEvilGodName]! El juicio de mis carceleros estaba lo suficientemente nublado para poder escapar.;;;;;;;;;x
EVTOPTA_SOA_3060;Hail [Root.Religion.GetRandomEvilGodName]!;Gloire à [Root.Religion.GetRandomEvilGodName] !;Lob sei [Root.Religion.GetRandomEvilGodName]!;;¡Alabad a [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3061;My prisoner, the depraved [From.GetTitledName], who is rumored to be the spawn of [From.Religion.GetRandomEvilGodName], has somehow escaped my dungeons! The guards have no explanation - the cell was still locked, but empty.;[From.GetTitledName], ce rebut de la société que l'on dit être un enfant de [From.Religion.GetRandomEvilGodName], a pu s'échapper de mon cachot ! Les gardes ne peuvent pas expliquer ce qui s'est passé. La cellule était encore verrouillée, mais à l'intérieur, personne !;Meinem Gefangenen, dem verderbten [From.GetTitledName], den man für einen Bastard von [From.Religion.GetRandomEvilGodName] hält, ist die Flucht aus meinem Kerker geglückt! Die Wärter haben keine Erklärung. Das Schloss war unversehrt, die Zelle jedoch leer...;;¡Mi prisionero, el depravado [From.GetTitledName], del que se rumorea que es la semilla de [From.Religion.GetRandomEvilGodName], ha logrado escapar de las mazmorras! Los guardias no se lo explican, la celda seguía cerrada, aunque vacía.;;;;;;;;;x
EVTOPTA_SOA_3061;These are dark tidings...;Ça ne sent pas bon...;Das sind schlimme Nachrichten...;;Malas noticias...;;;;;;;;;x
EVTDESC_SOA_3065;A well equipped army of cultists, followers of [Root.Religion.GetRandomEvilGodName], has arrived in [Root.Location.GetName] led by three powerful breton witches. They stand ready to serve me and our dread prince in this important war.;Une armée bien équipée de disciples de [Root.Religion.GetRandomEvilGodName] est arrivée en [Root.Location.GetName], menée par trois puissantes sorcières. Ils sont prêts à servir leur maître absolu et moi-même dans cette guerre sanglante.;Ein gut ausgerüstete Armee von Kultisten, die sich zu [Root.Religion.GetRandomEvilGodName] bekennen, ist unter der Führung dreier Hexen in [Root.Location.GetName] angekommen. Sie stehen bereit, mir und unserem gefürchteten Meister in diesem wichtigen Krieg zu dienen.;;Un ejército bien equipado de sectarios, seguidores de [Root.Religion.GetRandomEvilGodName], ha llegado a [Root.Location.GetName] con tres poderosas brujas a la cabeza. Están listos para servirnos a mí y a nuestro temido maestro en esta importante guerra.;;;;;;;;;x
EVTOPTA_SOA_3065;Hail [Root.Religion.GetRandomEvilGodName]!;Gloire à [Root.Religion.GetRandomEvilGodName] !;Lob sei [Root.Religion.GetRandomEvilGodName]!;;¡Alabad a [Root.Religion.GetRandomEvilGodName]!;;;;;;;;;x
EVTDESC_SOA_3071;My [GetFromRelation], little [From.GetFirstName], has really taken to [From.GetPossPronoun] nanny - a remarkably talented young woman, learned as any [Root.Religion.GetPriestTitle]. It is strange though... I have no idea when this girl showed up or where she came from, exactly.;Mon/ma [GetFromRelation] [From.GetFirstName] adore sa nourrice, une jeune femme très talentueuse instruite comme n'importe quel [Root.Religion.GetPriestTitle]. C'est étrange, quand on y pense... Je ne parviens pas à me rappeler quand cette fille est apparue, ni d'où elle vient.;Mein(e) [GetFromRelation] [From.GetFirstName] hat [From.GetPossPronoun] Kindermädchen wirklich liebgewonnen. Sie ist eine außergewöhnliche Frau, gelehrt wie eine [Root.Religion.GetPriestTitle]. Seltsam ist nur, dass niemand mehr weiß, wann und woher die junge Dame eigentlich hierher gekommen ist...;;Mi [GetFromRelation], el pequeño [From.GetFirstName], se ha encariñado mucho con [From.GetPossPronoun] niñera, una joven con un talento increíble, tan docta como cualquier [Root.Religion.GetPriestTitle]. Aunque es extraño... No tengo ni idea de dónde ha salido esta chica ni de dónde es exactamente.;;;;;;;;;x
EVTOPTA_SOA_3071;She really is most impressive;Elle fait vraiment forte impression;Sie ist wirklich höchst beeindruckend;;Es realmente impresionante;;;;;;;;;x
EVTDESC_SOA_3072;My new nanny is a gift from [Root.Religion.GetRandomEvilGodName] - literally. She is remarkably talented, more learned than any [Root.Religion.GetPriestTitle].;Ma nouvelle nourrice est un don de [Root.Religion.GetRandomEvilGodName]. Littéralement. Elle est vraiment douée, bien plus que n'importe quel [Root.Religion.GetPriestTitle].;Mein Kindermädchen ist ein Geschenk von [Root.Religion.GetRandomEvilGodName]. Und das ist durchaus wörtlich zu nehmen. Sie ist außergewöhnlich talentiert und gebildeter als jede(r) [Root.Religion.GetPriestTitle].;;Mi nueva niñera es un regalo de [Root.Religion.GetRandomEvilGodName], literalmente. Tiene un talento increíble, es más docta que cualquier [Root.Religion.GetPriestTitle].;;;;;;;;;x
EVTOPTA_SOA_3072;I will put her to good use;Je lui trouverai une utilité;Ich werde großen Nutzen aus ihr ziehen;;Haré buen uso de ella;;;;;;;;;x
EVTDESC_SOA_3074;My talented courtier, the nanny [From.GetFirstName], has left court to follow her young charge.;Ma talentueuse courtisane [From.GetFirstName] a décidé de quitter la cour pour se concentrer sur son protégé.;Mein talentiertes Kindermädchen [From.GetFirstName] hat den Hof verlassen, um ihren Zögling zu begleiten.;;Mi talentosa cortesana, la niñera de [From.GetFirstName], ha abandonado la corte para seguir su joven carga.;;;;;;;;;x
EVTOPTA_SOA_3074;That's dedication!;C'est quelqu'un de sérieux !;Das nenne ich Engagement!;;¡Eso es dedicación!;;;;;;;;;x
EVTTITLE_SOA_3077;A Bad Omen;Un mauvais présage;Ein böses Omen;;Un mal presagio;;;;;;;;;x
EVTDESC_SOA_3077;During a nice family outing by the river, everyone suddenly noticed the talented nanny [From.GetFirstName] standing on top of the old tower. Smiling and looking straight at my little [GetFromFromRelation], she cried out 'I love you [FromFrom.GetFirstName]!' and calmly took a step forward into empty air, falling to the ground with black clothes flapping like the wings of some huge crow. [FromFrom.GetFirstName] laughed delightedly at the loud thump, clapping [FromFrom.GetPossPronoun] hands as everyone else stared in utter shock and disbelief.;Pendant une belle promenade en famille près du fleuve, nous avons soudainement remarqué notre talentueuse nourrice [From.GetFirstName] debout au sommet de la vieille tour. Elle regardait mon/ma [GetFromFromRelation] en souriant. Elle s'est écriée ''Je t'aime [FromFrom.GetFirstName]'', puis elle a calmement fait un pas en avant et a sauté dans le vide. Dans sa chute, ses vêtements noirs qui volaient au vent la faisaient ressembler à un gigantesque corbeau. [FromFrom.GetFirstName] a ri aux éclats en voyant le corps se fracasser au sol et a applaudi alors que tous regardaient la scène, sous le choc, incrédules.;Während eines schönen Familientreffens am Fluss bemerken die Anwesenden plötzlich hoch auf dem Turm das Kindermädchen [From.GetFirstName]. Sie lächelt und schaut genau in die Richtung von [GetFromFromRelation], als sie plötzlich ausruft: 'Ich liebe dich, [FromFrom.GetFirstName]!', und einen langsamen Schritt nach vorn, in den Abgrund, tut. Geradewegs ins Nichts stürzt sie und schwarz flattern ihre Gewänder im Wind, ganz so als sei sie eine riesige Krähe. [FromFrom.GetFirstName] lacht und klatscht vergnügt in [FromFrom.GetPossPronoun]e Hände, als die Gestalt dumpf auf dem Boden aufschlägt. Die Anwesenden sind schockiert.;;Durante una agradable excursión familiar junto al río, de pronto todos observaron que la talentosa niñera [From.GetFirstName] se encontraba en lo alto de la vieja torre. Sonriendo y mirando directamente a los ojos de mi pequeño [GetFromFromRelation], gritó: “Te quiero, [FromFrom.GetFirstName]!” y con calma dio un paso adelante en el aire, precipitándose al suelo con su vestimenta negra agitándose como las alas de un gran cuervo. [FromFrom.GetFirstName] rió encantado con fuerza, aplaudiendo, mientras todos los demás mirábamos completamente estupefactos e incrédulos.;;;;;;;;;x
EVTOPTA_SOA_3077;Shocking!;Quel traumatisme !;Wie schrecklich!;;¡Espeluznante!;;;;;;;;;x
EVTTITLE_SOA_3078;A Good Omen;Un bon présage;Ein gutes Omen;;Un buen presagio;;;;;;;;;x
